Country,ISO3.Code,LAT,LON,MeanConsumPP,Pop.1992,Pop.1993,Pop.1994,Pop.1995,Pop.1996,Pop.1997,Pop.1998,Pop.1999,Pop.2000,Pop.2001,Pop.2002,Pop.2003,Pop.2004,Pop.2005,Pop.2006,Pop.2007,Pop.2008,Pop.2009,Pop.2010,Pop.2011,Pop.2012,Pop.2013
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,0.0564671061397051,44189.237,45299.058,46372.799,47374.567,48291.099,49133.904,49922.387,50687.2,51451.328,52218.951,52984.327,53748.946,54512.462,55274.466,56035.94,56797.694,57558.324,58315.545,59066.802,59812.547,60550.766,61273.413
Northern America,CAN,57.7487688035733,-101.569822125212,0.0857822490326087,28477.681,28805.109,29120.318,29424.282,29716.069,29996.515,30270.891,30546.31,30828.383,31118.265,31415.973,31724.445,32046.768,32384.669,32739.719,33110.326,33490.94,33873.8,34252.947,34626.198,34993.949,35355.925
South America,BRA,-10.8067736434989,-53.0543400357671,0.0551006834207426,308389.69,313572.482,318741.527,323918.586,329106.008,334294.265,339478.151,344648.597,349795.657,354923.548,360025.582,365067.675,370005.544,374809.128,379461.208,383973.95,388383.075,392740.928,397085.003,401425.855,405750.423,410043.907
Central Asia,UZB,41.7486026646522,63.2036395282317,0.156487202534091,51731.996,52266.04,52741.31,53177.844,53578.655,53947.941,54309.336,54691.748,55117.412,55597.878,56134.21,56724.645,57362.5,58042.955,58763.823,59528.136,60341.336,61210.695,62138.646,63127.124,64166.006,65230.587
Eastern Europe,POL,52.1482602193319,19.3110143084487,0.114231918834952,162363.834,162134.392,161772.217,161276.087,160643.886,159892.592,159064.445,158215.067,157387.554,156598.48,155847.81,155141.056,154478.388,153859.416,153288.624,152768.511,152292.557,151850.576,151433.065,151038.495,150662.837,150290.728
Northern Europe,GBR,53.8833587148482,-2.65799297938563,0.0921317446489857,92514.31,92727.443,92937.549,93153.316,93378.806,93614.543,93862.081,94122.212,94397.434,94682.917,94983.946,95324.544,95736.247,96238.537,96844.364,97539.012,98280.147,99008.676,99682.18,100283.755,100825.615,101329.969
Western Europe,NLD,52.2987003744418,5.5122171009654,0.0861895801744479,177828.231,178978.872,180029.792,180909.224,181582.198,182072.919,182442.518,182783.409,183163.439,183603.095,184083.756,184587.866,185084.142,185551.556,185983.792,186395.182,186808.99,187257.437,187761.522,188331.187,188953.368,189597.803
Oceania,NZL,-43.9858177329728,170.513011374997,0.0576318510959816,27814.398,28232.784,28646.227,29053.844,29455.8,29854.144,30252.441,30655.472,31067.62,31488.052,31918.387,32368.119,32849.296,33369.472,33933.089,34534.965,35160.97,35791.193,36410.779,37014.521,37605.014,38184.666
Russian Federation,RUS,61.6925647074082,99.2165267869251,0.131836212639502,148322.473,148435.811,148416.292,148293.265,148078.355,147772.805,147385.44,146924.174,146400.951,145818.121,145195.521,144583.147,144043.914,143622.566,143338.407,143180.249,143123.163,143126.66,143158.099,143211.476,143287.536,143367.341
India,IND,22.9250064074085,79.5937037632538,0.0590719791149851,906461.358,924475.633,942604.211,960874.982,979290.432,997817.25,1016402.907,1034976.626,1053481.072,1071888.19,1090189.358,1108369.577,1126419.321,1144326.293,1162088.305,1179685.631,1197070.109,1214182.182,1230984.504,1247446.011,1263589.639,1279498.874
Pakistan,PAK,29.9734600255474,69.4139980631813,0.122467278822255,113616.165,116579.605,119564.925,122599.749,125697.651,128845.692,132013.68,135158.132,138250.487,141282.077,144271.586,147251.53,150267.989,153356.383,156524.189,159767.672,163096.985,166520.983,170043.918,173669.648,177392.252,181192.646
United States of America,USA,39.5015541259931,-99.0602406280213,0.0854010461113738,257908.206,260527.42,263301.323,266275.528,269483.224,272882.865,276354.096,279730.801,282895.741,285796.198,288470.847,291005.482,293530.886,296139.635,298860.519,301655.953,304473.143,307231.961,309876.17,312390.368,314799.465,317135.919
