Country,ISO3.Code,LAT,LON,MeanConsumPP,Pop.1992,Pop.1993,Pop.1994,Pop.1995,Pop.1996,Pop.1997,Pop.1998,Pop.1999,Pop.2000,Pop.2001,Pop.2002,Pop.2003,Pop.2004,Pop.2005,Pop.2006,Pop.2007,Pop.2008,Pop.2009,Pop.2010,Pop.2011,Pop.2012,Pop.2013
China_mainland,CHN,36.6094323800447,103.865365256658,0.0863886342124878,1188450.231,1202982.955,1216067.023,1227841.281,1238234.851,1247259.143,1255262.566,1262713.651,1269974.572,1277188.787,1284349.938,1291485.488,1298573.031,1305600.63,1312600.877,1319625.197,1326690.636,1333807.063,1340968.737,1348174.478,1355386.952,1362514.26
India,IND,22.9250064074085,79.5937037632538,0.0653442531202531,906461.358,924475.633,942604.211,960874.982,979290.432,997817.25,1016402.907,1034976.626,1053481.072,1071888.19,1090189.358,1108369.577,1126419.321,1144326.293,1162088.305,1179685.631,1197070.109,1214182.182,1230984.504,1247446.011,1263589.639,1279498.874
United States of America,USA,39.5015541259931,-99.0602406280213,0.114222528929357,257908.206,260527.42,263301.323,266275.528,269483.224,272882.865,276354.096,279730.801,282895.741,285796.198,288470.847,291005.482,293530.886,296139.635,298860.519,301655.953,304473.143,307231.961,309876.17,312390.368,314799.465,317135.919
Russian Federation,RUS,61.6925647074082,99.2165267869251,0.267134614112822,148322.473,148435.811,148416.292,148293.265,148078.355,147772.805,147385.44,146924.174,146400.951,145818.121,145195.521,144583.147,144043.914,143622.566,143338.407,143180.249,143123.163,143126.66,143158.099,143211.476,143287.536,143367.341
France,FRA,46.6064633728632,2.33908864602935,0.312347462720255,57495.252,57749.881,57991.973,58224.051,58443.318,58652.709,58867.465,59107.738,59387.183,59711.914,60075.783,60464.857,60858.654,61241.7,61609.991,61966.193,62309.529,62640.901,62961.136,63268.405,63561.798,63844.529
Canada,CAN,57.7487688035733,-101.569822125212,0.245839392194603,28353.843,28680.921,28995.822,29299.478,29590.952,29871.092,30145.148,30420.216,30701.903,30991.344,31288.572,31596.593,31918.582,32256.333,32611.436,32982.275,33363.256,33746.559,34126.173,34499.905,34868.151,35230.612
Germany,DEU,51.1337226904078,10.2884850927429,0.20161715758802,80075.94,80675.999,81206.786,81612.9,81870.772,81993.831,82010.184,81965.83,81895.925,81809.438,81699.829,81569.481,81417.791,81246.801,81055.904,80854.515,80665.906,80519.685,80435.307,80424.665,80477.952,80565.861
Australia,AUS,-25.5607640622395,134.376078573618,0.26388683759113,17538.387,17738.428,17932.214,18124.77,18318.34,18512.971,18709.175,18906.936,19107.251,19308.681,19514.385,19735.255,19985.475,20274.282,20606.228,20975.949,21370.348,21770.69,22162.863,22542.371,22911.375,23270.465
Pakistan,PAK,29.9734600255474,69.4139980631813,0.143514051107665,113616.165,116579.605,119564.925,122599.749,125697.651,128845.692,132013.68,135158.132,138250.487,141282.077,144271.586,147251.53,150267.989,153356.383,156524.189,159767.672,163096.985,166520.983,170043.918,173669.648,177392.252,181192.646
Turkey,TUR,38.990729727953,35.3921024579343,0.284304657826484,55811.134,56707.454,57608.769,58522.32,59451.488,60394.104,61344.874,62295.617,63240.157,64182.694,65125.766,66060.121,66973.561,67860.617,68704.721,69515.492,70344.357,71261.307,72310.416,73517.002,74849.187,76223.639
Ukraine,UKR,48.9730179682021,31.3695330803563,0.273506438533505,51314.08,51216.988,51052.752,50811.673,50489.566,50096.497,49655.175,49196.895,48746.269,48310.816,47890.647,47493.771,47127.11,46795.313,46502.718,46249.196,46028.476,45830.711,45647.497,45477.69,45319.949,45165.211
United Kingdom,GBR,53.8833587148482,-2.65799297938563,0.224031549588539,57419.469,57575.969,57736.667,57903.79,58079.322,58263.858,58456.989,58657.794,58867.004,59080.221,59301.235,59548.421,59846.226,60210.012,60648.85,61151.82,61689.62,62221.164,62716.684,63164.949,63573.766,63955.654
Argentina,ARG,-35.2201719959357,-65.149543390921,0.130450517426776,33655.149,34110.912,34558.114,34994.818,35419.683,35833.965,36241.578,36648.054,37057.453,37471.535,37889.443,38309.475,38728.778,39145.491,39558.75,39969.903,40381.86,40798.641,41222.875,41655.616,42095.224,42538.304
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,0.418779382675825,16433.379,16297.681,16123.445,15925.913,15704.673,15465.649,15238.339,15059.994,14956.769,14942.788,15010.919,15139.324,15294.474,15451.752,15603.072,15755.242,15915.966,16098.356,16310.624,16554.305,16821.455,17099.546
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,0.207970645888708,58130.099,58811.858,59501.292,60318.632,61306.632,62426.086,63616.065,64780.362,65850.062,66812.736,67696.677,68522.074,69321.953,70122.115,70923.164,71720.859,72530.693,73370.982,74253.373,75184.322,76156.975,77152.445
Poland,POL,52.1482602193319,19.3110143084487,0.231202474553404,38396.826,38485.892,38553.355,38591.86,38599.825,38583.109,38550.777,38515.359,38486.305,38466.543,38454.823,38451.227,38454.52,38463.514,38478.763,38500.356,38525.752,38551.489,38574.682,38594.217,38609.486,38618.698
Italy,ITA,43.472476107586,12.2194764873985,0.184870599740369,57062.76,57097.411,57119.163,57120.136,57091.906,57044.614,57010.94,57035.249,57147.081,57359.179,57655.677,58002.003,58348.332,58657.355,58918.471,59138.599,59319.234,59467.196,59588.007,59678.993,59737.717,59771.094
Egypt,EGY,26.5066199997495,29.8444615131244,0.187048480685429,58922.018,60108.373,61272.847,62434.527,63595.629,64754.566,65922.626,67112.877,68334.905,69599.945,70908.71,72247.626,73596.068,74942.115,76274.285,77605.327,78976.122,80442.443,82040.994,83787.634,85660.902,87613.909
Spain,ESP,40.3486561062267,-3.61702060238737,0.197839236156986,39397.403,39518.427,39641.74,39764.267,39878.881,39996.221,40151.723,40392.585,40749.8,41230.518,41815.486,42475.265,43167.276,43854.761,44537.926,45209.538,45817.016,46295.191,46601.492,46708.366,46637.082,46455.163
Romania,ROU,45.857101035738,24.9432524946354,0.243301635254243,23373.155,23255.683,23115.921,22965.125,22804.526,22633.398,22458.737,22288.573,22128.139,21983.221,21851.988,21722.664,21578.318,21407.619,21205.977,20979.708,20741.669,20510.263,20298.838,20111.664,19944.954,19794.163
Morocco,MAR,29.8853946983021,-8.42047954454964,0.223722322999907,25866.445,26314.339,26747.66,27161.889,27556.892,27934.014,28292.299,28630.973,28950.553,29250.983,29535.591,29812.685,30093.109,30385.479,30691.434,31011.322,31350.544,31714.958,32107.739,32531.964,32984.19,33452.686
Brazil,BRA,-10.8067736434989,-53.0543400357671,0.0544567030705674,155379.009,157812.22,160260.508,162755.054,165303.155,167893.835,170516.482,173153.066,175786.441,178419.396,181045.592,183627.339,186116.363,188479.24,190698.241,192784.521,194769.696,196701.298,198614.208,200517.584,202401.584,204259.377
Mexico,MEX,23.9353719022448,-102.576349523987,0.0532245033304157,89110.043,90887.097,92663.664,94426.946,96181.71,97925.825,99632.299,101266.57,102808.59,104239.563,105578.297,106888.418,108257.822,109747.906,111382.857,113139.374,114972.821,116815.612,118617.542,120365.271,122070.963,123740.109
Algeria,DZA,28.1854812786575,2.59804779161835,0.220610194483773,27180.921,27785.977,28362.015,28904.3,29411.839,29887.717,30336.88,30766.551,31183.658,31590.32,31990.387,32394.886,32817.225,33267.887,33749.328,34261.971,34811.059,35401.79,36036.159,36717.132,37439.427,38186.135
Iraq,IRQ,33.0368223410367,43.7569114187134,0.162229278490544,18468.521,19021.967,19606.895,20217.759,20855.408,21519.356,22200.835,22888.6,23574.751,24258.794,24943.793,25630.426,26320.53,27017.712,27716.983,28423.538,29163.327,29970.634,30868.156,31867.758,32957.622,34107.366
Belgium,BEL,50.6524426064521,4.5808315906517,0.287853378287568,10441.805,10488.696,10532.682,10570.062,10599.077,10621.732,10642.697,10668.666,10704.487,10751.529,10808.342,10873.49,10944.469,11019.283,11097.578,11179.535,11264.234,11350.645,11437.867,11525.156,11612,11698.007
Netherlands,NLD,52.2987003744418,5.5122171009654,0.247942097537459,15128.288,15239.262,15347.792,15450.803,15546.647,15636.131,15721.627,15806.771,15894.016,15984.365,16076.427,16167.421,16253.397,16331.646,16401.105,16463.031,16519.862,16575.173,16631.571,16689.863,16749.318,16809.157
Japan,JPN,36.019075365944,136.881947315984,0.0504811644539166,123180.357,123658.854,124101.546,124483.305,124794.817,125048.424,125266.403,125481.05,125714.674,125974.298,126249.509,126523.884,126773.081,126978.754,127136.576,127250.015,127317.9,127340.884,127319.802,127252.9,127139.821,126984.964
Indonesia,IDN,-0.254301557222141,114.022683532525,0.0202575656240961,187762.097,190873.248,193939.912,196957.845,199926.615,202853.85,205753.493,208644.079,211540.428,214448.301,217369.087,220307.809,223268.606,226254.703,229263.98,232296.83,235360.765,238465.165,241613.126,244808.254,248037.853,251268.276
Republic of Korea,KOR,36.4275986041549,127.821317128331,0.0835219679282164,43708.17,44031.222,44342.53,44652.994,44967.346,45283.939,45599.569,45908.307,46206.271,46492.324,46769.579,47043.251,47320.454,47605.863,47901.643,48205.062,48509.842,48807.036,49090.041,49356.692,49608.451,49846.756
Philippines,PHL,15.7509443494214,121.54444242782,0.029481246881675,65078.901,66654.954,68240.134,69835.713,71437.381,73042.605,74656.228,76285.225,77932.247,79604.541,81294.378,82971.734,84596.249,86141.373,87592.899,88965.508,90297.115,91641.881,93038.902,94501.233,96017.322,97571.676
Nigeria,NGA,9.54831841820997,7.99512775408979,0.0173590543570677,100592.458,103145.093,105753.088,108424.822,111164.651,113975.055,116860.691,119826.231,122876.723,126014.935,129246.283,132581.484,136033.321,139611.303,143318.011,147152.502,151115.683,155207.145,159424.742,163770.669,168240.403,172816.517

