Country,ISO3.Code,LAT,LON,MeanConsumPP,Pop.1992,Pop.1993,Pop.1994,Pop.1995,Pop.1996,Pop.1997,Pop.1998,Pop.1999,Pop.2000,Pop.2001,Pop.2002,Pop.2003,Pop.2004,Pop.2005,Pop.2006,Pop.2007,Pop.2008,Pop.2009,Pop.2010,Pop.2011,Pop.2012,Pop.2013
China_mainland,CHN,36.6094323800447,103.865365256658,0.0863886342124878,1188450.231,1202982.955,1216067.023,1227841.281,1238234.851,1247259.143,1255262.566,1262713.651,1269974.572,1277188.787,1284349.938,1291485.488,1298573.031,1305600.63,1312600.877,1319625.197,1326690.636,1333807.063,1340968.737,1348174.478,1355386.952,1362514.26
India,IND,22.9250064074085,79.5937037632538,0.0653442531202531,906461.358,924475.633,942604.211,960874.982,979290.432,997817.25,1016402.907,1034976.626,1053481.072,1071888.19,1090189.358,1108369.577,1126419.321,1144326.293,1162088.305,1179685.631,1197070.109,1214182.182,1230984.504,1247446.011,1263589.639,1279498.874
United States of America,USA,39.5015541259931,-99.0602406280213,0.114222528929357,257908.206,260527.42,263301.323,266275.528,269483.224,272882.865,276354.096,279730.801,282895.741,285796.198,288470.847,291005.482,293530.886,296139.635,298860.519,301655.953,304473.143,307231.961,309876.17,312390.368,314799.465,317135.919
Russian Federation,RUS,61.6925647074082,99.2165267869251,0.267134614112822,148322.473,148435.811,148416.292,148293.265,148078.355,147772.805,147385.44,146924.174,146400.951,145818.121,145195.521,144583.147,144043.914,143622.566,143338.407,143180.249,143123.163,143126.66,143158.099,143211.476,143287.536,143367.341
France,FRA,46.6064633728632,2.33908864602935,0.312347462720255,57495.252,57749.881,57991.973,58224.051,58443.318,58652.709,58867.465,59107.738,59387.183,59711.914,60075.783,60464.857,60858.654,61241.7,61609.991,61966.193,62309.529,62640.901,62961.136,63268.405,63561.798,63844.529
Canada,CAN,57.7487688035733,-101.569822125212,0.245839392194603,28353.843,28680.921,28995.822,29299.478,29590.952,29871.092,30145.148,30420.216,30701.903,30991.344,31288.572,31596.593,31918.582,32256.333,32611.436,32982.275,33363.256,33746.559,34126.173,34499.905,34868.151,35230.612
Germany,DEU,51.1337226904078,10.2884850927429,0.20161715758802,80075.94,80675.999,81206.786,81612.9,81870.772,81993.831,82010.184,81965.83,81895.925,81809.438,81699.829,81569.481,81417.791,81246.801,81055.904,80854.515,80665.906,80519.685,80435.307,80424.665,80477.952,80565.861
Australia,AUS,-25.5607640622395,134.376078573618,0.26388683759113,17538.387,17738.428,17932.214,18124.77,18318.34,18512.971,18709.175,18906.936,19107.251,19308.681,19514.385,19735.255,19985.475,20274.282,20606.228,20975.949,21370.348,21770.69,22162.863,22542.371,22911.375,23270.465
Brazil,BRA,-10.8067736434989,-53.0543400357671,0.0544567030705674,155379.009,157812.22,160260.508,162755.054,165303.155,167893.835,170516.482,173153.066,175786.441,178419.396,181045.592,183627.339,186116.363,188479.24,190698.241,192784.521,194769.696,196701.298,198614.208,200517.584,202401.584,204259.377
Japan,JPN,36.019075365944,136.881947315984,0.0504811644539166,123180.357,123658.854,124101.546,124483.305,124794.817,125048.424,125266.403,125481.05,125714.674,125974.298,126249.509,126523.884,126773.081,126978.754,127136.576,127250.015,127317.9,127340.884,127319.802,127252.9,127139.821,126984.964
Algeria,DZA,28.1854812786575,2.59804779161835,0.220610194483773,27180.921,27785.977,28362.015,28904.3,29411.839,29887.717,30336.88,30766.551,31183.658,31590.32,31990.387,32394.886,32817.225,33267.887,33749.328,34261.971,34811.059,35401.79,36036.159,36717.132,37439.427,38186.135
Indonesia,IDN,-0.254301557222141,114.022683532525,0.0202575656240961,187762.097,190873.248,193939.912,196957.845,199926.615,202853.85,205753.493,208644.079,211540.428,214448.301,217369.087,220307.809,223268.606,226254.703,229263.98,232296.83,235360.765,238465.165,241613.126,244808.254,248037.853,251268.276
Netherlands,NLD,52.2987003744418,5.5122171009654,0.247942097537459,15128.288,15239.262,15347.792,15450.803,15546.647,15636.131,15721.627,15806.771,15894.016,15984.365,16076.427,16167.421,16253.397,16331.646,16401.105,16463.031,16519.862,16575.173,16631.571,16689.863,16749.318,16809.157

