Area,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
Northern America,CAN,57.7487688035733,-101.569822125212,2151005,2167231,2508330,2458513,2635099,2667768,2807227,2750110,2727244,2745662,2731182,2743033,2818696,2830967,2857215,2912331,2901118,2898352,2892964,2728092,2995211,2992626
South America,BRA,-10.8067736434989,-53.0543400357671,16954866,16681083,17297536,18287107,17582078,17659713,18196741,18600798,18110107,19554768,19242235,20747733,20315231,20860073,20995082,21632567,21965990,22155400,22750565,22909961,22813206,23190511
Central Asia,UZB,41.7486026646522,63.2036395282317,8326887,8527605,8964244,9075116,9400238,9469146,8922038,9183089,8841523,8667158,8590113,8871453,8814811,8728554,8744400,8589315,8864756,8990384,9276047,9001970,8983322,9202618
Eastern Europe,POL,52.1482602193319,19.3110143084487,19505160,19476897,19232573,18894867,18503168,18881023,18219918,18383427,18345337,18289810,18432437,17818935,17819884,17981257,17282998,16851556,16560570,16476532,16548897,16388099,16291876,16210823
Northern Europe,GBR,53.8833587148482,-2.65799297938563,7887756,7707276,7602446,7859309,7974949,8407908,8577634,8777273,8799377,8756265,9197807,9268550,9156985,9234494,9290680,9227641,9443872,9462077,9548870,9415678,9476837,9651920
Western Europe,DEU,51.1337226904078,10.2884850927429,13413601,13837195,14185562,14434208,14729339,13500728,15053754,15013331,15074494,15866621,16397410,15992209,16138610,16684790,16863414,16717485,17264705,17248946,18093304,17941054,17612352,17756355
Oceania,NZL,-43.9858177329728,170.513011374997,1581530,1637075,1730127,1823919,1797932,1817437,1768448,1794771,1735686,1748657,1852323,1873717,1765006,1765561,1832422,1898303,2037743,2153738,2135086,2179143,2109797,2149303
Russian Federation,RUS,61.6925647074082,99.2165267869251,19216515,19221904,20115684,19850830,19303411,19631731,19466296,19183992,18859838,19424629,19439598,19124739,18876919,19230624,18988234,18884161,18733592,18590452,19042752,18680142,19177686,18710102
India,IND,22.9250064074085,79.5937037632538,54157355,53528171,54663095,58370414,56556837,60225805,62610266,63914088,68435329,65904576,66781235,64001624,64343903,62211282,66293142,69310825,71361243,69900492,72719310,71866699,70588768,75832546
Pakistan,PAK,29.9734600255474,69.4139980631813,14704089,15460532,16409302,15758690,16042235,17361579,17637909,17991814,18033177,16915983,16772835,17021693,17501400,17582048,18880656,17853485,18693562,19387517,19681242,20048026,20472625,20696472
United States of America,USA,39.5015541259931,-99.0602406280213,21679690,22638891,23094973,25661894,23749002,23937925,24398151,24300916,25393042,24947136,24314595,24801297,24510601,24868735,25250035,25792695,25302004,24959269,25167425,25049953,25756791,25742152
China,CPR,36.6094323800447,103.865365256658,95956180,98144591,97989324,99074542,99083118,98909279,99006017,98027681,95926662,94766752,92732509,91559063,91355379,91036459,91160528,90136792,88310539,85805617,86869594,88194070,88712979,89385787
Eastern Africa,ETH,8.65399918813263,39.5512557929378,1744400,1244330,1489196,1381593,1329633,1503680,1734082,1588612,2012292,2271956,2679277,2647098,2758737,2909096,2639437,2686787,2691794,2699464,2872812,3301529,2916296,2757622
Middle Africa,AGO,-12.2915534387057,17.5029119215871,674561,563319,557812,544245,571278,715136,698419,827224,873140,933961,969573,1011595,1044023,1089661,1188651,1231674,1312684,1406108,1486027,1631430,1726792,1778358
Northern Africa,EGY,26.5066199997495,29.8444615131244,10001258,10694853,11340259,12554477,7925839,12384611,8338890,9353411,10318651,10549885,11668481,9278587,7628256,10511184,8400679,11077146,11486245,8316768,12130567,9618778,7828461,8447931
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,1109550,754787,758722,205177,237098,22656,1319270,1344370,881045,687087,500292,772608,782435,970074,1099830,1480971,1116130,1347275,1571720,1493146,1782646,1805690
Western Africa,NGA,9.54831841820997,7.99512775408979,1922528,2422203,2009654,1862858,2118949,2450652,2991037,3131322,3705427,3762087,4022709,3901647,4360467,5597789,5160405,5110869,5075584,6007517,6201112,6304632,5468026,6312612
