Country,ISO3.Code,LAT,LON,Value.ou.1992,Value.ou.1993,Value.ou.1994,Value.ou.1995,Value.ou.1996,Value.ou.1997,Value.ou.1998,Value.ou.1999,Value.ou.2000,Value.ou.2001,Value.ou.2002,Value.ou.2003,Value.ou.2004,Value.ou.2005,Value.ou.2006,Value.ou.2007,Value.ou.2008,Value.ou.2009,Value.ou.2010,Value.ou.2011,Value.ou.2012,Value.ou.2013
China_mainland,CHN,36.6094323800447,103.865365256658,1421327,1526839,1678495,1631294,1632775,1684554,2035394,2214392,2372489,2665586,2654547,2631089,2864773,1861274,2253805,2524198,2700680,2768687,2772031,2808191,2885463,2928894
India,IND,22.9250064074085,79.5937037632538,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12491,18375,41,23,34,35,16,98,32,118,95,71,141,133,107,197,779,623,433,6087,16246
Russian Federation,RUS,61.6925647074082,99.2165267869251,2964,3564,0,0,297,0,31,1282,27,335,1032,1588,1672,1393,323,590,802,1538,938,1335,27,2607
France,FRA,46.6064633728632,2.33908864602935,725917,484294,710795,741645,877778,1018327,802555,896472,930711,949183,997340,949000,1035262,1385776,1473844,1958648,2144126,2786384,2898018,2898179,2853558,2823626
Canada,CAN,57.7487688035733,-101.569822125212,169852,161999,138680,156153,135688,125467,178671,211499,260458,275742,287063,240323,183815,148710,94784,338374,421466,772029,849296,671180,787799,664424
Germany,DEU,51.1337226904078,10.2884850927429,336440,377446,424685,530858,505956,420615,388253,460809,444165,423700,437415,517901,294598,447220,605140,599270,508215,582246,645088,713130,698405,773526
Australia,AUS,-25.5607640622395,134.376078573618,262146,314306,356194,379843,406018,408489,371072,355829,481123,430180,516033,765569,607223,665395,560852,606459,640955,672673,656730,790820,888063,920450
Pakistan,PAK,29.9734600255474,69.4139980631813,885917,952547,857642,982668,945386,959485,1062769,1056980,1108022,960392,926599,968661,982531,1153180,1106992,1173729,1141467,1357957,1172626,1263797,1177166,1238391
Turkey,TUR,38.990729727953,35.3921024579343,969357,1112286,900531,963483,1033373,1061342,1139464,985002,1102379,970649,1034354,1046611,1108822,1088314,1020544,978251,1082339,1209352,1120342,1337500,1201502,1319594
Ukraine,UKR,48.9730179682021,31.3695330803563,855,4457,1068,1971,2171,1841,1904,3921,17197,17094,17094,19641,19231,20824,19301,19268,19707,19313,19308,19362,19677,19516
United Kingdom,GBR,53.8833587148482,-2.65799297938563,633591,395914,539852,869378,859818,340178,391978,237165,772629,385355,569174,145034,265281,158098,294771,163714,933475,538976,888552,489458,588250,801232
Argentina,ARG,-35.2201719959357,-65.149543390921,1097,343,60,454,145,74,77,47,65,49,58,12159,12865,12749,10983,8140,6856,8036,39161,4688,936,19348
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,154000,155000,47500,100000,100000,200000,305128,305128,493338,315439,353477,414579,473087,527664,598879,567321,509949,508974,1060313,730015,818006,486022
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,0,0,0,0,0,2140,2112,2184,1946,1805,2029,1572,1749,1872,2635,1615,3084,2806,3306,3324,9681,8240
Poland,POL,52.1482602193319,19.3110143084487,5580,2874,736,9667,607,0,0,0,85631,0,257698,380347,369591,401234,497239,544031,548619,565947,579642,571225,555578,650054
Italy,ITA,43.472476107586,12.2194764873985,11313,11329,16146,11326,10470,9704,12283,13277,16515,17295,16341,20575,17641,18510,9653,7424,9688,10030,7100,3390,5256,6609
Egypt,EGY,26.5066199997495,29.8444615131244,7,10,7,7,6,1,3,13,11,4,6,19,14,10,240,0,30,0,393,0,0,0
