Country,ISO3.Code,LAT,LON,Value.PWO.1992,Value.PWO.1993,Value.PWO.1994,Value.PWO.1995,Value.PWO.1996,Value.PWO.1997,Value.PWO.1998,Value.PWO.1999,Value.PWO.2000,Value.PWO.2001,Value.PWO.2002,Value.PWO.2003,Value.PWO.2004,Value.PWO.2005,Value.PWO.2006,Value.PWO.2007,Value.PWO.2008,Value.PWO.2009,Value.PWO.2010,Value.PWO.2011,Value.PWO.2012,Value.PWO.2013
China_mainland,CHN,36.6094323800447,103.865365256658,9426115,8662559,8912418,8875951,8408271,8808096,8597237,8502533,7982896,6928876,6675241,6494350,6525780,5679753,4952930,5072127,5651069,5669452,5750932,5895881,6015449,6235196
India,IND,22.9250064074085,79.5937037632538,1669999,1716000,1795002,1973002,1860000,2080002,1990000,2138999,2291191,2240466,2304165,2243879,2927894,2788184,3771701,3924226,4834211,4850629,4952328,5212446,5692891,5611294
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12490,18374,41,23,34,35,16,98,32,118,95,72,140,133,107,197,780,622,433,6086,16247
Russian Federation,RUS,61.6925647074082,99.2165267869251,2294391,1729760,1037599,1340671,923707,313671,538746,1238086,1688209,1249508,1219359,586614,1454134,1026027,868335,1314148,1138122,1350048,869247,1113345,945502,1355790
France,FRA,46.6064633728632,2.33908864602935,1158494,1081428,1312929,1346779,1581749,1744134,2003891,2217597,2105047,2218308,2411859,2597095,2764357,3267160,3929886,3948395,4153221,4913479,4866787,4929274,4777653,4756721
Canada,CAN,57.7487688035733,-101.569822125212,170352,161999,139680,157253,162288,141267,202081,245708,292044,298876,305353,261611,237812,176866,122110,367943,454612,795429,871796,693580,801299,685124
Germany,DEU,51.1337226904078,10.2884850927429,920092,934962,1001744,1120996,1122476,1046905,1007974,1047947,1093165,1108609,1093932,1124917,1137160,1440869,1714134,1311270,1259215,1422246,1383088,1415130,1390905,1526026
Australia,AUS,-25.5607640622395,134.376078573618,522812,604464,575772,676109,776522,736047,727571,740532,844463,822435,750838,1100135,896524,987374,742830,815915,928921,977045,992267,1152744,1253298,1215193
Pakistan,PAK,29.9734600255474,69.4139980631813,1358094,1357806,1238956,1408941,1369670,1376875,1531180,1504424,1662638,1441107,1390357,1453342,1474153,1730178,1660907,1760973,1712650,2037138,1759335,1896409,1769173,1859006
Turkey,TUR,38.990729727953,35.3921024579343,3269357,2912286,2400531,2663483,2733373,2761342,3039464,2585002,3002379,2670649,2784354,2746611,3008822,3088314,2820544,2478251,2682339,3109352,2920342,3337500,3201502,3619594
Ukraine,UKR,48.9730179682021,31.3695330803563,1425437,2194388,2053902,863358,391496,467996,548259,531384,433946,559045,554584,161500,470431,418013,462730,629455,856147,476549,643391,591522,476039,621870
United Kingdom,GBR,53.8833587148482,-2.65799297938563,1269591,1152914,1304060,1592453,1835554,1418359,1312114,1014932,1714757,1116067,1550085,1082034,1064576,988999,1010469,1059714,1732235,1316576,1566311,1289458,1052250,1355532
Argentina,ARG,-35.2201719959357,-65.149543390921,420561,417447,440269,457314,547433,540336,561279,537742,537218,521447,482165,514862,546359,533599,525057,599024,573632,500767,637759,421835,443404,443292
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,1897088,1396932,643998,560420,623574,818181,630204,878334,958743,960913,1015093,1067590,1068555,1219293,1414916,1527988,1260235,1466145,1686368,1998876,1435906,1363885
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,631598,659093,659657,716376,694460,801473,776627,743641,735228,796682,830628,731245,741291,723099,790820,808465,587565,950039,748616,440774,722751,692874
Poland,POL,52.1482602193319,19.3110143084487,410137,511307,434072,581237,665498,688212,630079,583566,596753,592865,807367,825585,866053,858883,894902,979020,1027055,1075555,1246453,1067468,877386,1174180
Italy,ITA,43.472476107586,12.2194764873985,126971,127661,139507,125901,130771,128017,135459,139701,147298,141832,158138,155332,144936,162199,138551,138527,155165,117386,115689,111587,150003,118090
Egypt,EGY,26.5066199997495,29.8444615131244,669243,639918,737208,732323,778842,832236,767561,732144,756977,796016,801962,765395,793212,903554,1841405,1843471,1922837,1993727,2011293,2060302,2034156,2223912
Spain,ESP,40.3486561062267,-3.61702060238737,111904,124243,124972,118870,134409,132243,134022,140438,153082,147054,148370,124378,138438,135847,149250,137111,319980,383554,248398,237642,165586,213846
Romania,ROU,45.857101035738,24.9432524946354,879250,1086534,1002537,1013916,777349,815591,758124,773858,769220,945360,892612,860005,970194,934437,685977,743916,829840,737780,676381,868677,637815,705338
Morocco,MAR,29.8853946983021,-8.42047954454964,418865,424001,515623,418783,625771,486386,532657,456296,469385,522773,521517,566758,629205,518780,625966,529250,805787,969987,925819,1275099,994614,1087951
Brazil,BRA,-10.8067736434989,-53.0543400357671,364529,373917,397018,430623,483279,393705,419946,448670,433178,491445,468119,582430,542351,517960,542867,533367,575997,543567,591731,612431,600405,608470
Mexico,MEX,23.9353719022448,-102.576349523987,293044,317366,194170,217888,555498,1260690,1582472,1677277,1802494,2098927,1886763,1576466,1514047,2241906,2116512,1847868,1461116,1330056,2163203,2116820,2597969,1899715
Algeria,DZA,28.1854812786575,2.59804779161835,291614,280330,300012,350323,346798,337245,421794,451434,598517,627905,674988,720335,693560,716865,685792,652239,842330,957099,1071379,1400667,1494562,1492266
Iraq,IRQ,33.0368223410367,43.7569114187134,134160,113220,110520,102960,110520,182280,207360,181836,214152,390340,800646,710567,773341,776353,792481,772651,661832,705080,780336,909773,888769,1042006
Belgium,BEL,50.6524426064521,4.5808315906517,379228,404888,444840,433816,378724,455260,418835,438955,443455,464508,484045,451256,456724,471661,432134,422197,422212,915524,1191610,1351313,1705658,2013618
Netherlands,NLD,52.2987003744418,5.5122171009654,306972,264638,224167,250110,199131,418462,497925,437836,513084,665139,529319,694462,607986,710707,680731,711541,632233,760946,614118,755925,741030,727085
Japan,JPN,36.019075365944,136.881947315984,369975,358673,356787,354550,355674,350373,349960,350773,339257,329789,330265,330468,328612,318351,318666,320310,315352,316958,319032,319794,394507,379340
Indonesia,IDN,-0.254301557222141,114.022683532525,77167,67587,112273,153678,167491,141416,139870,153768,169107,154935,174306,172806,197248,207162,213658,212343,204875,217870,233505,245996,279067,291518
