Area,ISO3.Code,LAT,LON,markets,commodities,GatherMonthS,Value.1992,Value.1993,Value.1994,Value.1995,Value.1996,Value.1997,Value.1998,Value.1999,Value.2000,Value.2001,Value.2002,Value.2003,Value.2004,Value.2005,Value.2006,Value.2007,Value.2008,Value.2009,Value.2010,Value.2011,Value.2012,Value.2013
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,10,22486397,20368257,17959482,18786588,20993030,19802602,18795557,18555614,19768729,19683910,16485200,19721145,18499793,18917368,19892473,18088232,21490954,21196131,18614269,19764252,22388977,25264226
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,9,6134942,5461241,6468877,5376088,9201919,7828557,6137849,7733388,7336445,7745239,7496955,9421161,8967675,7082534,7494881,7928290,5776177,7615678,8105467,5673630,3935562,5100133
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,10,9576119,8785839,8475698,8207419,8667059,8471298,7611086,9897885,11617344,12938049,11215514,11253546,11588249,11614977,11567646,12812390,17143772,18148880,13371848,18029205,16883275,18043994
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,10,20781576,20478736,17797495,18227683,16954079,18186001,16294059,14995422,14984755,18261320,17607829,9305145,16626072,18527904,16563453,17405864,19691889,20039699,19599546,20552859,19978465,22576270
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,1,14188456,14629220,13952743,16427170,19522636,17989681,20373367,21613804,21200049,23263466,8554369,49678248,18745723,27297332,9369496,26517413,35794382,24252234,26117612,25341085,26410675,24980812
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,9,39383771,38689723,33881644,32466827,33699793,35844012,29907326,30265017,33607626,37314661,41447190,35178145,41765027,46488039,44148087,45387814,50591166,52020130,42782146,49897228,44023800,50001280
India,IND,22.9250064074085,79.5937037632538,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,10,12315024,12379704,12236993,12125582,12536516,12592855,11919637,10866052,10817047,9986760,9650119,11298970,10764478,10907467,10310530,11367114,12423776,11268080,10998339,10547005,11432654,10705160
China,CPR,36.6094323800447,103.865365256658,market,wheat,9,69182507,69625697,67542072,68065877,70739333,72652678,73012257,70515533,66332068,63687793,62907897,58936491,59000772,63273440,66754724,68293234,67920086,71093284,73764640,69992028,71041129,73608121

