Area,ISO3.Code,LAT,LON,markets,commodities,GatherMonthW,Value.1992,Value.1993,Value.1994,Value.1995,Value.1996,Value.1997,Value.1998,Value.1999,Value.2000,Value.2001,Value.2002,Value.2003,Value.2004,Value.2005,Value.2006,Value.2007,Value.2008,Value.2009,Value.2010,Value.2011,Value.2012,Value.2013
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,9,6118572,5530728,4872435,5097527,5699875,5381721,5109998,5044469,5371354,5343581,4470552,5341628,5004139,5109947,5365499,4871152,5778313,5689427,4996479,5080530,5744743,6470275
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,1,9007546,8127730,9901925,8225240,14260380,12438876,9761881,12476474,12037793,13023117,13055401,16555585,16437802,13198093,14424317,15621992,11611051,15903666,17232381,15797570,11301567,15119519
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,8,5651266,5532811,5652883,5721105,6323108,6422439,6047969,6305183,7463730,8407426,9516389,9855981,10395984,10722329,10846398,11852176,12049219,12377541,11336989,10916709,9964171,10393232
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,8,24431133,26053520,24380617,26719269,26398811,29831573,27907841,26553261,27116713,33163045,31518861,16368013,28753114,31494684,27756156,28947054,32646722,33084724,32122259,33613334,32458280,36499545
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,8,23411927,22963157,21426620,22056950,24823218,25662113,26082720,22594743,25562234,23146558,24891369,25154595,26649963,25681797,25436692,25664202,27099400,26441031,28567787,28663088,28118908,25776947
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,9,54790529,50289261,51719628,54581781,57122175,58969257,60895500,58538696,63177530,59238670,63944975,61058919,65319933,66290214,65707727,64893243,68636781,66201649,69067544,68051131,68333034,66177959
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,9,2631325,2666099,2410663,2385492,2554904,2800054,2401888,2491294,2824188,3186424,3588412,3060380,3616673,3974869,3701886,3702077,4005370,4028036,3329294,4242136,3758846,4284376
India,IND,22.9250064074085,79.5937037632538,market,wheat,4,51359982,58225035,60691439,60093410,62333554,65426911,65054915,71326023,72114123,68296825,70791610,65279710,73192838,69970391,74565968,75912298,80737644,80753190,79626259,86316130,89547632,89717190
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,6,15085855,16234324,16054178,16679181,17472982,17282221,18187503,18284535,19168388,18874339,18921590,19191293,19953386,20623931,21169871,21820074,22065068,23674922,24225271,23924664,23546124,23885125
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,9,51949448,52162424,51666295,51362282,53292092,53767591,50981346,46939558,46724727,43099695,41150095,48131661,45788609,46391092,43786264,48223330,53234011,48201137,46513375,44578471,48250481,45110772
China,CPR,36.6094323800447,103.865365256658,market,wheat,7,33551981,34236568,33832105,34673150,36516834,38147412,38942459,38857291,36838046,35020022,34784177,32816570,33064565,35743931,37917530,38988357,39717289,41846360,42692996,46858247,47693357,48583606

