Area,ISO3.Code,LAT,LON,markets,commodities,GatherMonthW,prod.winter.neut.2014,prod.winter.nina.2014
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,9,6058129,6058129
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,1,16736353,16736353
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,8,9559974,9559974
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,8,36948893,36948893
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,8,30263058,29524639
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,9,66504216,66504216
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,0,0,0
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,9,4566060,4566060
India,IND,22.9250064074085,79.5937037632538,market,wheat,4,93090460,93164932
Pakistan,PAK,29.9734600255474,69.4139980631813,market,wheat,6,25652858,25652858
United States of America,USA,39.5015541259931,-99.0602406280213,market,wheat,9,46796563,46796563
China,CPR,36.6094323800447,103.865365256658,market,wheat,7,49502258,49502258

