Id,Description,latitude,longitude
CHN,China_mainland,36.6094323800447,103.865365256658
IND,India,22.9250064074085,79.5937037632538
USA,United States of America,39.5015541259931,-99.0602406280213
RUS,Russian Federation,61.6925647074082,99.2165267869251
FRA,France,46.6064633728632,2.33908864602935
CAN,Canada,57.7487688035733,-101.569822125212
DEU,Germany,51.1337226904078,10.2884850927429
AUS,Australia,-25.5607640622395,134.376078573618
PAK,Pakistan,29.9734600255474,69.4139980631813
TUR,Turkey,38.990729727953,35.3921024579343
UKR,Ukraine,48.9730179682021,31.3695330803563
GBR,United Kingdom,53.8833587148482,-2.65799297938563
ARG,Argentina,-35.2201719959357,-65.149543390921
KAZ,Kazakhstan,48.1916620924959,67.2846086074656
IRN,Iran (Islamic Republic of),32.5189173176254,54.2854514968914
POL,Poland,52.1482602193319,19.3110143084487
ITA,Italy,43.472476107586,12.2194764873985
EGY,Egypt,26.5066199997495,29.8444615131244
ESP,Spain,40.3486561062267,-3.61702060238737
ROU,Romania,45.857101035738,24.9432524946354
MAR,Morocco,29.8853946983021,-8.42047954454964
BRA,Brazil,-10.8067736434989,-53.0543400357671
MEX,Mexico,23.9353719022448,-102.576349523987
DZA,Algeria,28.1854812786575,2.59804779161835
IRQ,Iraq,33.0368223410367,43.7569114187134
BEL,Belgium,50.6524426064521,4.5808315906517
NLD,Netherlands,52.2987003744418,5.5122171009654
JPN,Japan,36.019075365944,136.881947315984
IDN,Indonesia,-0.254301557222141,114.022683532525
KOR,Republic of Korea,36.4275986041549,127.821317128331
PHL,Philippines,15.7509443494214,121.54444242782
NGA,Nigeria,9.54831841820997,7.99512775408979
