Country,ISO3.Code,LAT,LON,Value.Export.1992,Value.Export.1993,Value.Export.1994,Value.Export.1995,Value.Export.1996,Value.Export.1997,Value.Export.1998,Value.Export.1999,Value.Export.2000,Value.Export.2001,Value.Export.2002,Value.Export.2003,Value.Export.2004,Value.Export.2005,Value.Export.2006,Value.Export.2007,Value.Export.2008,Value.Export.2009,Value.Export.2010,Value.Export.2011,Value.Export.2012,Value.Export.2013
China,CPR,36.6094323800447,103.865365256658,437770,604775,600890,620925,1045206,956881,547217,393113,488293,1031902,1328037,2910596,1559050,1105748,2046292,3759389,773560,672198,725198,821874,812103,713217
India,IND,22.9250064074085,79.5937037632538,39388,6474,95808,1148881,1965690,33835,11743,6704,1166531,3015502,4287559,4855829,2201965,866704,162184,127507,162951,146065,158049,784406,5040254,7168316
United States of America,USA,39.5015541259931,-99.0602406280213,35595160,37619067,32609412,34584048,32294182,26948128,28341454,30341553,29453309,27402431,26763087,28755698,34624133,31054577,27702281,37132771,31500876,23302835,29088540,34368824,27304929,34691351
Russian Federation,RUS,61.6925647074082,99.2165267869251,4295,8369,931936,275975,441242,625576,1662981,857679,682976,1903401,10476685,8040568,4942986,10728699,10068061,14941266,12472566,17460969,12159567,16209044,16515168,14243438
France,FRA,46.6064633728632,2.33908864602935,19946427,21222319,15318284,19072358,17415771,17382444,16094356,20561455,20148782,17462613,15455333,18226968,16634899,17833852,18716803,16743233,18294621,18733083,23074409,22129947,18271033,21501962
Canada,CAN,57.7487688035733,-101.569822125212,24050824,18590945,21921623,17475943,16972273,19293783,18182149,16732295,19396569,18261298,12919969,12452034,15913504,14723235,19317915,18376638,16638264,20223960,19404017,17344980,18827575,20704460
Germany,DEU,51.1337226904078,10.2884850927429,6154801,5032365,6783842,4849378,5483946,5317750,6293287,6176344,6201098,7410825,7624766,6136384,5892720,6461140,8118286,6565474,9053429,11809173,11346512,8641900,9547811,10870487
Australia,AUS,-25.5607640622395,134.376078573618,8231916,9614155,12857958,7939566,14823213,19688124,15614682,16979792,18105958,15953314,15140070,9865898,18921609,14372666,15417927,7154538,8660007,15253313,16152379,17815223,23720852,18171268
Pakistan,PAK,29.9734600255474,69.4139980631813,3002,4081,7510,3714,7620,5266,9407,8728,61094,835372,1279711,1611693,393864,823993,566976,1079371,346304,159741,28364,3576912,1253289,946011
Turkey,TUR,38.990729727953,35.3921024579343,4516690,1222167,1873289,1319980,1084558,1527137,1849847,2304557,2392776,1516038,528140,1044718,1374378,3286760,2750707,2080881,2052314,3161442,4240694,3449970,3711837,4366418
Ukraine,UKR,48.9730179682021,31.3695330803563,817000,211646,1845703,872624,1774341,1120960,2884851,4654315,260531,2919500,8393880,999039,2693845,6169232,4815672,1347930,8066010,13309395,4573405,4531872,9151077,8331100
United Kingdom,GBR,53.8833587148482,-2.65799297938563,4324395,4254280,4121527,3234801,4335000,4401251,4884439,3596191,4123064,2386151,2206686,4148136,3221172,3243896,2650786,2559708,3416863,3132260,4062855,3001372,2348142,1311820
Argentina,ARG,-35.2201719959357,-65.149543390921,6280524,6024436,5571859,7249121,3884947,9609094,11061812,9341275,11498310,11257003,9306576,6255256,10075576,10536830,9988819,10745811,9992741,6285092,5109964,9575378,12562944,2615156
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,2898821,4663385,2290282,2693997,2152272,3090517,2762821,3424548,5371548,3248292,4335575,5820701,3280568,3107468,5654509,8079825,7269835,6119404,8025883,5362721,10370978,7442016
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,235,235,75446,235,235,190218,114179,103481,94269,78740,43557,56349,56530,99023,141521,665680,318976,131956,835885,350109,438767,325844
Poland,POL,52.1482602193319,19.3110143084487,673655,9603,32662,154814,124615,201010,98467,454068,66314,73869,648453,674741,356339,660467,893344,621770,657382,2418683,1329756,1263336,1602670,2248874
Italy,ITA,43.472476107586,12.2194764873985,4001724,3333060,3326561,2701018,3199537,3542085,3472500,3347604,3768166,3360710,3408104,3261261,3282617,3518916,3533154,3173284,3267521,3152309,3508468,3821473,3573984,3640099
Egypt,EGY,26.5066199997495,29.8444615131244,5175,4306,2753,2851,6483,4524,7775,21171,3429,23193,13280,30422,5218,35135,31664,25332,28010,110744,89196,180725,147528,190523
Spain,ESP,40.3486561062267,-3.61702060238737,853142,1174715,1293467,1055420,1378040,1315942,936181,680566,904362,1431214,1687419,1657720,1318669,901405,1202853,1183200,1125205,1081354,961895,1307927,1229624,1456803
Romania,ROU,45.857101035738,24.9432524946354,162,147,148,642398,1378197,456721,457298,767245,117722,413654,278472,40071,53102,282650,938068,235869,2027582,2383976,2554234,1621330,2379970,4865605
Morocco,MAR,29.8853946983021,-8.42047954454964,651,163,19483,29369,30633,55920,82468,58457,88890,157491,154593,134073,71956,85239,105309,133929,85999,87047,112939,16994,186239,197797
Brazil,BRA,-10.8067736434989,-53.0543400357671,6413,7009,9555,15680,22591,24179,28519,29887,40789,51485,52205,106711,1399026,233393,726295,175191,745587,473063,1397124,2424018,2485130,1288342
Mexico,MEX,23.9353719022448,-102.576349523987,26387,50553,167894,545366,221525,562182,319779,506048,739323,735510,688240,853072,663073,741911,925510,1040571,1969757,1701800,1057578,1534749,1345052,1448838
Algeria,DZA,28.1854812786575,2.59804779161835,788,62,135,3374,11000,0,0,9,3,84,154,377,6510,13208,6947,13971,24193,37263,38952,4505,5441,1609
Iraq,IRQ,33.0368223410367,43.7569114187134,0,0,0,0,35,0,2848,2035,0,12626,16168,123007,237223,166,5166,607,109,95,76,2398,54,159
Belgium,BEL,50.6524426064521,4.5808315906517,1898466,1968923,2077194,1873530,2012151,2087137,2288787,3150543,2821581,2181148,2437735,2600493,2788514,2648773,2823426,2850582,2998060,2636511,2636346,2464956,2615796,2544701
Netherlands,NLD,52.2987003744418,5.5122171009654,1416587,1584918,1190958,1119897,1260635,1346242,1137691,1249035,1168187,1075471,1018623,1090369,1103082,1040055,1180757,1165695,1221940,1554091,1214035,1270712,1258633,1331443
Japan,JPN,36.019075365944,136.881947315984,410467,445878,415371,427820,393703,356518,359174,435527,402204,415583,413254,409663,394909,380450,384798,348533,265902,259053,274772,265444,269098,244315
Nigeria,NGA,9.54831841820997,7.99512775408979,19,56694,22600,76554,2000,44002,46774,5442,3575,15215,6108,4475,2955,3687,5052,4961,5976,1570,1769,3340,3076,3024
Republic of Korea,KOR,36.4275986041549,127.821317128331,17998,20642,40956,59335,68021,73979,61222,72369,88590,77609,61363,60728,64209,65576,62258,66330,63725,79811,84746,90291,96807,103203
Indonesia,IDN,-0.254301557222141,114.022683532525,16372,21672,19929,18738,24429,17724,10058,48113,60526,73574,122118,111870,197138,254088,170898,181192,173723,130496,211745,188484,202979,261854
Philippines,PHL,15.7509443494214,121.54444242782,8611,7360,7994,7742,15523,13072,11466,9306,15726,24737,22973,14363,18952,33480,43188,36801,42638,41902,51637,57598,35547,33973

