Country,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
China,CPR,36.6094323800447,103.865365256658,95956180,98144591,97989324,99074542,99083118,98909279,99006017,98027681,95926662,94766752,92732509,91559063,91355379,91036459,91160528,90136792,88310539,85805617,86869594,88194070,88712979,89385787
India,IND,22.9250064074085,79.5937037632538,54157355,53528171,54663095,58370414,56556837,60225805,62610266,63914088,68435329,65904576,66781235,64001624,64343903,62211282,66293142,69310825,71361243,69900492,72719310,71866699,70588768,75832546
United States of America,USA,39.5015541259931,-99.0602406280213,21679690,22638891,23094973,25661894,23749002,23937925,24398151,24300916,25393042,24947136,24314595,24801297,24510601,24868735,25250035,25792695,25302004,24959269,25167425,25049953,25756791,25742152
Russian Federation,RUS,61.6925647074082,99.2165267869251,19216515,19221904,20115684,19850830,19303411,19631731,19466296,19183992,18859838,19424629,19439598,19124739,18876919,19230624,18988234,18884161,18733592,18590452,19042752,18680142,19177686,18710102
France,FRA,46.6064633728632,2.33908864602935,5020304,5382898,5396547,5430891,5490413,5507848,5617237,5659238,5694091,5851868,5874812,5878121,6056943,6139584,6402023,6102286,6676817,6330642,6986287,6764709,6984092,6971055
Canada,CAN,57.7487688035733,-101.569822125212,2147535,2163848,2504978,2454961,2631351,2664569,2804009,2746346,2723758,2742326,2728093,2739930,2815186,2827210,2853569,2908371,2897304,2894563,2888759,2724119,2991651,2989060
Germany,DEU,51.1337226904078,10.2884850927429,5396700,5562712,5698139,5807339,5925678,4746601,6063532,6113261,6079425,6652865,7133511,6551646,6523775,6930656,6796188,6885640,6867524,7136685,7235457,7204186,6712498,6899975
Australia,AUS,-25.5607640622395,134.376078573618,1192927,1233959,1319924,1416463,1383026,1379176,1286858,1307415,1275855,1314073,1422299,1430064,1318809,1308187,1368555,1439494,1567648,1678120,1649260,1683801,1601650,1644797
Pakistan,PAK,29.9734600255474,69.4139980631813,14704089,15460532,16409302,15758690,16042235,17361579,17637909,17991814,18033177,16915983,16772835,17021693,17501400,17582048,18880656,17853485,18693562,19387517,19681242,20048026,20472625,20696472
Turkey,TUR,38.990729727953,35.3921024579343,12489726,12428637,13508536,12815010,12726847,12095512,12664762,12964472,13096378,13805755,13613298,13159588,13531951,13047331,13642285,13246075,13269460,13257926,12951713,12675359,12627049,12735860
Ukraine,UKR,48.9730179682021,31.3695330803563,7736538,7572692,7258928,6790917,6619942,6635367,6347658,6470834,6018095,6110509,6265119,5788659,5830206,5884518,5487353,5316710,5144749,4977324,4983229,4853050,4846935,4756672
United Kingdom,GBR,53.8833587148482,-2.65799297938563,4906932,4822882,4812614,4921244,5042997,5333639,5561336,5628928,5670017,5478456,5953178,6011888,5924657,5946807,5915635,5940171,6093958,6095613,6126087,6073604,6144918,6251406
Argentina,ARG,-35.2201719959357,-65.149543390921,3628773,3581586,3654415,3714725,3834880,3750686,3793305,3815973,3608202,3483496,3607104,3699723,3731461,3720287,3807368,3860390,3920895,3968388,4018042,3972843,4040298,4273312
