Country,ISO3.Code,LAT,LON,Value.FFSO.1992,Value.FFSO.1993,Value.FFSO.1994,Value.FFSO.1995,Value.FFSO.1996,Value.FFSO.1997,Value.FFSO.1998,Value.FFSO.1999,Value.FFSO.2000,Value.FFSO.2001,Value.FFSO.2002,Value.FFSO.2003,Value.FFSO.2004,Value.FFSO.2005,Value.FFSO.2006,Value.FFSO.2007,Value.FFSO.2008,Value.FFSO.2009,Value.FFSO.2010,Value.FFSO.2011,Value.FFSO.2012,Value.FFSO.2013
China,CPR,36.6094323800447,103.865365256658,102354251,105238043,105162688,106617478,106688533,106868461,107368001,107423953,107386940,107806226,105863280,104267632,101585103,101378202,103204224,103694951,102673965,104314454,108347574,122488694,122048317,123628461
India,IND,22.9250064074085,79.5937037632538,57304355,56730171,57951095,61656414,59890537,63727405,66158566,67517688,71924866,69435233,70222470,67708237,68080152,66044621,70374971,73448922,75586747,74363108,77442025,76763927,75451399,80762979
United States of America,USA,39.5015541259931,-99.0602406280213,29661801,32667382,34911260,32661791,34904864,33273047,37238694,34645734,35729127,32123402,29752413,32502392,31585672,31345876,30666058,28612402,33685001,31848165,30766379,31878000,37696298,34050704
Russian Federation,RUS,61.6925647074082,99.2165267869251,60314191,46294178,35358006,33322883,37193868,36644151,36715667,33698725,35075715,44984564,34725238,31322893,41109211,36922057,35668257,33250053,50468984,43074160,29217697,31809657,28979007,33354485
France,FRA,46.6064633728632,2.33908864602935,11924221,14007192,15570342,16867536,16949191,16802175,17187792,17817710,18934802,19590051,19319152,16963121,17731205,19580360,18704867,17315934,19850943,18215026,16876305,18164888,17759650,18364681
Canada,CAN,57.7487688035733,-101.569822125212,7491887,8958447,7701658,7771114,8263039,7414036,8138680,8294845,7476216,7379068,8124956,7436253,9040001,8097920,7967153,6364845,6500370,7256592,6323755,7606899,8141550,8415384
Germany,DEU,51.1337226904078,10.2884850927429,10842140,12898158,13590824,14715197,14146634,12992216,15293785,13667070,15512590,15975565,16730255,14842547,15406373,18975876,18605328,17035910,18618739,18878201,16593545,17683316,15778903,15738501
Australia,AUS,-25.5607640622395,134.376078573618,3332073,3608265,3113118,3914306,3179044,3691665,3846930,4139244,4275978,4347253,5196332,5415633,5608032,6351582,7059407,6220953,7036603,4965793,6764990,5591621,6299713,6396247
Pakistan,PAK,29.9734600255474,69.4139980631813,16669006,17625079,18407944,18016358,18325621,19570064,20102678,20387794,20723199,19302375,19064434,19429354,19945931,20356228,21583148,20774214,21406763,22548134,22602178,23216823,23410691,23752863
Turkey,TUR,38.990729727953,35.3921024579343,15829083,15910923,17369067,16658493,16630220,15856854,16504226,16649474,17901914,18334152,18264820,17812609,18328470,16089045,16547829,16033235,16170369,16349961,15935108,15918542,15594961,15665687
Ukraine,UKR,48.9730179682021,31.3695330803563,15904893,15711149,16193496,14804488,12918113,12167408,13393962,11694755,10371292,13029203,13388213,8826300,12515437,12837342,11128654,11165978,14127456,9609637,10797537,12615412,10594612,10563188
United Kingdom,GBR,53.8833587148482,-2.65799297938563,10381523,10104796,11058466,11359622,11614815,11996817,12402314,12612093,13190646,12787811,13281352,13145922,13091938,13360905,13331406,13025885,13587433,13481589,13698639,13130062,13844168,13974638
Argentina,ARG,-35.2201719959357,-65.149543390921,4224350,4417079,4368785,4660189,4885053,4653455,4530362,4552460,4423922,4217846,4300838,4393618,4271899,4305529,4419450,4349719,4289931,4435173,4520327,4297986,4406460,4826760
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,6462747,6112900,6575815,6065589,6071567,5894377,4313329,3471149,4301772,4529774,5383812,6076020,6503576,6291685,6384966,6455380,5629812,6899817,6578899,7574898,5763267,5775659
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,11626342,12204704,12731028,12353370,12847956,14329655,13843501,13829414,13594476,14735170,14501503,13265586,13825442,13400485,13755005,12942792,12591830,13242126,13094820,12828935,13019568,13115599
Poland,POL,52.1482602193319,19.3110143084487,8368494,8010501,8174285,8484300,8398668,8685658,8830435,8869722,8859424,8793081,8567344,7317091,8281627,7497275,6650833,8665907,8759102,8682375,9259126,8990086,8431241,8009307
Italy,ITA,43.472476107586,12.2194764873985,10515935,10417633,9883287,10344823,10508997,10381393,10517951,10397806,10507379,10762609,10780731,10503897,11002170,10726268,10651545,10661205,10896221,10712775,10801389,10761042,11092970,10938862
Egypt,EGY,26.5066199997495,29.8444615131244,9556321,9526439,10275504,10506461,10784175,11037396,10768477,10317841,10431219,11178505,10949425,10739370,11169411,12208715,14265202,14419521,15032522,15314173,15635037,15995905,15769005,17125070
Spain,ESP,40.3486561062267,-3.61702060238737,5188190,5244639,5667934,5557247,6306246,7244233,7913282,7833901,7838176,8184239,8819058,9383642,9992534,10151075,9942624,9667641,10032682,9801723,9690865,10233250,9891115,10683112
Romania,ROU,45.857101035738,24.9432524946354,5086947,5408338,5115617,5317954,5245682,5617814,5345021,5139456,5061375,5433047,5339529,5012416,5765089,5832772,5351741,5217035,5105399,5003521,4851870,4912193,4565625,4699116
Morocco,MAR,29.8853946983021,-8.42047954454964,4963856,5009246,4903837,4938023,5806328,5655029,5001562,5322829,5425384,5794979,5817701,6102498,6203175,6047468,6255222,6140752,6686895,7233198,7206492,7848409,7543892,8580229
Brazil,BRA,-10.8067736434989,-53.0543400357671,7082326,7236363,7732410,8549679,8218496,8148774,8338124,8494430,8283438,9122900,9343929,10156712,9819724,9987706,10282852,10474496,10695000,10921564,10903526,11195147,10776032,11452120
Mexico,MEX,23.9353719022448,-102.576349523987,4516440,4761465,5014181,4578606,4690405,4451103,4839798,4954885,4998314,5391539,5295140,5150271,5112008,5486355,5336709,5435443,5325594,5190130,5931154,6161607,6603288,6123203
Algeria,DZA,28.1854812786575,2.59804779161835,5374810,5467166,5513758,5626432,5762446,5621039,6265325,6356872,6165205,6370682,6478002,6861554,6847339,6925563,6672940,6686302,7208733,7582471,7618361,8286529,8777685,8788375
Iraq,IRQ,33.0368223410367,43.7569114187134,2186754,2069392,1986251,1968178,1978592,2371528,2632339,2856906,2868026,3232771,4003868,4242965,4384787,5127049,5264405,5176111,4842032,5300847,5718447,5923742,6179893,6692765
Belgium,BEL,50.6524426064521,4.5808315906517,1824463,1968881,2096134,2372350,2561155,2744849,2796474,2859755,2821514,3071405,3321194,3351908,3401759,3431915,3258829,3124850,3160981,3445724,3140860,2865695,2828980,2767232
Netherlands,NLD,52.2987003744418,5.5122171009654,1825881,1892210,2220235,2754326,2811640,2831140,3250103,2275203,3712127,4062867,3863008,3850139,4194667,4307684,5290406,5009160,5966739,6008244,6010619,5362592,4963178,4830259
Japan,JPN,36.019075365944,136.881947315984,5914206,5976450,5965053,5855409,5895880,5773884,5676357,5696610,5708514,5681174,5679754,5768275,5804744,5821942,5824963,6269059,6060640,6230497,6308462,6653124,7061472,6965317
Nigeria,NGA,9.54831841820997,7.99512775408979,743287,1236498,816188,670389,926403,1169376,1538396,1635790,2207886,2164122,2355904,2195890,2567369,3643479,3184289,2928523,3008996,3734843,3927559,4050114,2855330,3638932
Republic of Korea,KOR,36.4275986041549,127.821317128331,3434845,4275258,4381008,3419312,2962448,3430474,4284271,3653287,3168427,3889460,4054729,3303701,3502143,3877424,3395831,3130705,3257243,4683971,4493342,5295267,5316491,4406074
Indonesia,IDN,-0.254301557222141,114.022683532525,2450873,2520520,3254143,4180961,4052545,3564080,3399673,3139762,3559021,3513503,4316442,4084697,4720830,4778376,5101497,5213265,5005267,5336119,5617650,6007049,6665758,6717140
Philippines,PHL,15.7509443494214,121.54444242782,1897213,1834566,2219451,2153454,1964309,2160310,2901310,2259465,2250554,2734333,2618739,2577194,2467068,2306766,2330576,1733049,1662449,2585984,3126213,2964352,3311368,2769243

