Country,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,3031973,2683178,3045536,3048587,3273614,3272922,3514717,3608936,4135331,4609338,4769601,5086131,5211838,5949195,5882986,6017060,5954203,6820005,6746406,7113198,7304887,7421182
Middle Africa,AGO,-12.2915534387057,17.5029119215871,680020,568576,563823,552796,578537,723130,708291,834894,880042,940976,977448,1019407,1048897,1098450,1196319,1244623,1325495,1421770,1501108,1639837,1750368,1816105
Northern Africa,EGY,26.5066199997495,29.8444615131244,20852187,21125172,21753631,21935949,23391780,23144437,22889287,22585621,22508855,23857839,23660760,24050401,24382845,25344696,25274615,25577237,26508394,27206268,27374381,28019929,27887065,28276477
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,2362403,2612324,2674493,2754181,2758220,2807636,2899975,2922289,3001141,2978389,2822677,2701155,2951935,3127051,3223486,3261877,3295915,3294835,3295639,3429059,3446255,3489962
Western Africa,NGA,9.54831841820997,7.99512775408979,1982556,2452066,2039939,1906493,2164085,2503163,3087630,3230840,3804734,3858518,4118639,4001728,4468026,5703975,5272722,5164729,5142480,6096393,6338210,6512353,5633076,6444014
Northern America,CAN,57.7487688035733,-101.569822125212,2151005,2167231,2508330,2458513,2635099,2667768,2807227,2750110,2727244,2745662,2731182,2743033,2818696,2830967,2857215,2912331,2901118,2898352,2892964,2728092,2995211,2992626
Central America,MEX,23.9353719022448,-102.576349523987,4539571,4618210,5096733,4727611,4753972,4738647,4784738,4827183,4867731,5030586,5014648,5080148,5030732,5054078,5141246,5224690,5151702,5273399,5454262,5614449,5688960,5875601
Caribbean,CUB,21.6317515410252,-78.9606849097026,1233444,1181160,1213889,1265106,1234566,1273464,1409526,1301086,1466076,1459394,1516833,1488959,1424917,1397607,1507065,1466583,1535835,1411916,1515239,1434360,1472166,1492921
South America,BRA,-10.8067736434989,-53.0543400357671,16954866,16681083,17297536,18287107,17582078,17659713,18196741,18600798,18110107,19554768,19242235,20747733,20315231,20860073,20995082,21632567,21965990,22155400,22750565,22909961,22813206,23190511
Central Asia,UZB,41.7486026646522,63.2036395282317,8326887,8961723,9814968,9544955,9778338,10067240,8824329,8187492,8033284,8070158,8544634,8871453,8814811,8728554,8744400,8589315,8864756,8990384,9276047,9001970,8983322,9202618
Eastern Asia,JPN,36.019075365944,136.881947315984,7906759,8253837,8293921,8339795,8452350,8366014,8300522,8380533,8560747,8506179,8546118,8666653,8725005,8681064,8680307,9105188,8820707,9083968,9197908,9163518,9068724,9117563
Southern Asia,IRN,32.5189173176254,54.2854514968914,15270799,15559016,16248176,14985563,16374726,18150131,17596433,19405632,18942175,19057354,18956718,18991906,19852787,19740502,19228561,19306070,19577852,20432327,20608584,21026310,21389849,21721050
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,5782211,6001374,7029130,7944841,7690229,7408760,8088295,7206388,7598506,8009740,8566505,8483981,9350477,9761157,10096088,9764702,9107754,10069827,11149371,11400902,12022885,12265279
Western Asia,IRQ,33.0368223410367,43.7569114187134,22307450,21958765,23197265,22576230,22777967,22914064,23896089,24591705,24434197,25715219,26099593,26027616,26640262,26629720,27858447,28158201,28254194,28857091,28981154,28940812,29292199,29835146
Eastern Europe,POL,52.1482602193319,19.3110143084487,19505160,19476897,19232573,18894867,18503168,18881023,18219918,18383427,18345337,18289810,18432437,17818935,17819884,17981257,17282998,16851556,16560570,16476532,16548897,16388099,16291876,16210823
Northern Europe,GBR,53.8833587148482,-2.65799297938563,7887756,7707276,7602446,7859309,7974949,8407908,8577634,8777273,8799377,8756265,9197807,9268550,9156985,9234494,9290680,9227641,9443872,9462077,9548870,9415678,9476837,9651920
Southern Europe,ITA,43.472476107586,12.2194764873985,17454768,17470907,17039711,17395559,17400916,17557635,17384609,17401466,17277799,17187751,17213815,17183911,17223809,17108007,17518366,17575400,17880213,18167658,18116696,18234405,18552892,18546294
Western Europe,NLD,52.2987003744418,5.5122171009654,13413601,13837195,14185562,14434208,14729339,13500728,15053754,15013331,15074494,15866621,16397410,15992209,16138610,16684790,16863414,16717485,17264705,17248946,18093304,17941054,17612352,17756355
Oceania,NZL,-43.9858177329728,170.513011374997,1581530,1637075,1730127,1823919,1797932,1817437,1768448,1794771,1735686,1748657,1852323,1873717,1765006,1765561,1832422,1898303,2037743,2153738,2135086,2179143,2109797,2149303
Russian Federation,RUS,61.6925647074082,99.2165267869251,19216515,19221904,20115684,19850830,19303411,19631731,19466296,19183992,18859838,19424629,19439598,19124739,18876919,19230624,18988234,18884161,18733592,18590452,19042752,18680142,19177686,18710102
India,IND,22.9250064074085,79.5937037632538,54157355,53528171,54663095,58370414,56556837,60225805,62610266,63914088,68435329,65904576,66781235,64001624,64343903,62211282,66293142,69310825,71361243,69900492,72719310,71866699,70588768,75832546
Pakistan,PAK,29.9734600255474,69.4139980631813,14704089,15460532,16409302,15758690,16042235,17361579,17637909,17991814,18033177,16915983,16772835,17021693,17501400,17582048,18880656,17853485,18693562,19387517,19681242,20048026,20472625,20696472
United States of America,USA,39.5015541259931,-99.0602406280213,21679690,22638891,23094973,25661894,23749002,23937925,24398151,24300916,25393042,24947136,24314595,24801297,24510601,24868735,25250035,25792695,25302004,24959269,25167425,25049953,25756791,25742152
China,CPR,36.6094323800447,103.865365256658,95956180,98144591,97989324,99074542,99083118,98909279,99006017,98027681,95926662,94766752,92732509,91559063,91355379,91036459,91160528,90136792,88310539,85805617,86869594,88194070,88712979,89385787

