Country,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,3031973,2856819.73420757,2984118.6037781,3116197.09853881,3256193.22591208,3414434.04234783,3638049.80673227,3889208.27364787,4159025.43157847,4449969.92682695,4752369.71283687,5039980.66741264,5305308.81426323,5558658.94384577,5819672.25880118,6077447.58314986,6332603.92798289,6571708.90509121,6806302.74728599,7039634.87308219,7271941.0014869,7502514.89288106
Middle Africa,AGO,-12.2915534387057,17.5029119215871,680020,522505.749537716,565545.436862057,609984.545161536,654796.603714954,698570.904454545,753236.64380647,813094.815564921,870306.656572901,922551.758825099,972441.835008891,1021737.63645095,1073139.16266176,1128972.90828735,1191633.81003003,1263174.6132429,1345183.63226549,1439574.62326573,1533514.12627839,1627920.57184613,1723352.24890007,1819776.46102217
Northern Africa,EGY,26.5066199997495,29.8444615131244,20852187,21263313.9902503,21586135.7512856,21899893.1679227,22205303.0155037,22503828.344679,22768875.5544418,23024780.1857121,23245653.318174,23487032.5942813,23802487.1783526,24180163.8920844,24565303.2656563,24977917.2784625,25451128.3454458,25945650.8572337,26427458.205331,26850808.0645357,27263856.8891346,27676555.8519637,28083646.1689037,28480644.444544
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,2362403,2560891.45579562,2640558.33073024,2718469.0847551,2776534.02223571,2827459.94991959,2876421.43729994,2918901.04981526,2943276.87848249,2945539.97674069,2964738.53585503,2996714.77361458,3030384.71391173,3094262.2302247,3176387.17928327,3235874.2325067,3277330.79489118,3314308.99514617,3352803.32647247,3397442.18312389,3444078.92085543,3492170.4619368
Western Africa,NGA,9.54831841820997,7.99512775408979,1982556,2017386.34490056,2168885.47166357,2331491.52067123,2495822.54537935,2661463.97096864,2949593.25796377,3263756.2185808,3550209.56637147,3811542.18626845,4078305.84389972,4351524.94732536,4588797.7089102,4813602.72087413,5077752.7853851,5371115.81965288,5628366.89953387,5801558.97835894,5970972.75109739,6148009.4372205,6323312.85234337,6489948.68152367
Northern America,CAN,57.7487688035733,-101.569822125212,2151005,2254812.23092801,2347477.35384052,2437360.26168165,2527293.35736285,2620821.50834543,2671072.50265465,2708699.62066037,2731354.86394618,2744967.90549597,2759783.99732654,2778949.57304686,2802995.88690424,2829612.05450473,2854869.39286039,2875275.27387183,2891978.09956097,2913316.60071786,2933161.22594066,2952255.2532695,2971613.34307311,2991605.35741848
Central America,MEX,23.9353719022448,-102.576349523987,4539571,4609964.76971089,4649385.57480182,4688674.41298255,4728809.36867399,4767964.76883628,4806522.70812863,4852684.22356602,4902015.15270669,4949053.90294489,4991926.57048814,5033250.61742643,5071891.39946107,5105016.40679951,5145715.24536411,5209420.59688953,5292052.97225981,5394149.44614334,5496608.21129484,5600206.0586619,5705961.644852,5814137.53390538
Caribbean,CUB,21.6317515410252,-78.9606849097026,1233444,1207331.9695149,1230093.54987146,1253722.28918799,1278416.892581,1306302.36279538,1342997.92156004,1382034.16730464,1417494.02544038,1441544.73164781,1453810.30733896,1461984.70329306,1465799.33961456,1467021.49654066,1466011.74889435,1468773.40649059,1473317.12810794,1473599.59651449,1474536.20640206,1475086.91500297,1475239.23156226,1475367.48724179
South America,BRA,-10.8067736434989,-53.0543400357671,16954866,16977989.1326487,17202452.267399,17430754.5319865,17664582.0827982,17911160.650537,18213646.6799145,18549927.8892945,18908402.8751599,19278939.7507148,19651818.0984944,20013272.7986946,20382035.5186285,20759655.6083692,21148734.0897482,21524252.8130672,21883560.0181083,22174468.3132136,22457729.813548,22740357.6138681,23018327.2876233,23288934.8351899
Central Asia,UZB,41.7486026646522,63.2036395282317,8326887,9304668.71674602,9289978.8273631,9252904.47833647,9201391.37368065,9118790.2090831,8881565.09395701,8658585.64228404,8493784.54652132,8446327.5650389,8486244.78367226,8576442.51621767,8668886.66930033,8734942.38755426,8780336.61127356,8828218.1191949,8881753.30049841,8936310.87089155,8997319.4382667,9061076.28293996,9123018.07431693,9181679.70163977
