Country,ISO3.Code,LAT,LON,Value.import.1992,Value.import.1993,Value.import.1994,Value.import.1995,Value.import.1996,Value.import.1997,Value.import.1998,Value.import.1999,Value.import.2000,Value.import.2001,Value.import.2002,Value.import.2003,Value.import.2004,Value.import.2005,Value.import.2006,Value.import.2007,Value.import.2008,Value.import.2009,Value.import.2010,Value.import.2011,Value.import.2012,Value.import.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,1866672,1592817,2094415,1648855,1925942,1687697,2324085,2149173,3027961,2917411,2786549,3803884,3130265,3555575,3614084,3622264,3770284,5975052,5980858,7034144,6077445,5274807
Middle Africa,AGO,-12.2915534387057,17.5029119215871,711968,563068,625810,542966,512615,695090,787729,860094,974738,943413,1104274,1141656,1190220,1227981,1387149,1131811,1364263,1490566,1490746,1766234,1818435,1954744
Northern Africa,EGY,26.5066199997495,29.8444615131244,13037318,12737171,14835434,14996769,12706796,15577269,14038114,13299291,16356697,14854809,17972306,13639818,14447674,17088355,17682173,19763757,22038912,20429831,22820877,24311883,21138239,21654367
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,774061,1437758,999837,1232891,1354107,670792,788774,825696,1000802,464714,1073291,983974,1465225,1558305,1239222,1441550,1793959,1636357,1709917,2210036,2059948,1887657
Western Africa,NGA,9.54831841820997,7.99512775408979,2071965,2560382,2043275,2107318,2184033,2658946,3742171,3254308,3947574,3951628,4404288,4129695,4463765,6070426,5683581,5377711,5244937,6525996,6762371,6679720,6145920,6968427
Northern America,CAN,57.7487688035733,-101.569822125212,306496,319086,372624,366334,405874,407829,476443,440587,474643,505871,462874,492707,475931,507889,553525,701913,826674,940670,996691,936981,1276417,824260
Central America,MEX,23.9353719022448,-102.576349523987,2084228,2732544,2809319,2259087,3248211,2983238,3885087,4074584,4152415,4956053,4838653,5324852,5449098,5577282,5301367,5157725,5111950,4733351,5578577,6300748,7020104,6519853
Caribbean,CUB,21.6317515410252,-78.9606849097026,1870631,1758238,1762527,1729608,1710203,2028963,2184850,2149892,2263809,2289406,1970284,2011795,1925214,2122299,2000090,2016381,2098439,2042732,2205263,2063747,1977680,2069738
South America,BRA,-10.8067736434989,-53.0543400357671,9348086,10227428,11369711,11219633,12813306,10088885,11968136,12518486,13254787,12811179,12269740,12448515,10246142,10578342,12981772,14256634,13655556,12742862,13989488,13731736,14606761,14706566
Central Asia,UZB,41.7486026646522,63.2036395282317,8562925,6011930,4702809,2550618,2774893,1601258,1228684,1374812,1417228,1031649,1020233,860596,966172,1846204,2016749,2892926,3265596,3176602,3397563,4187385,4929102,4387905
Eastern Asia,JPN,36.019075365944,136.881947315984,9936597,11531158,12880584,8838518,9147950,10372056,11150479,10997381,10463248,10498506,10932133,10152454,10255885,10241317,9873586,9456541,9361815,9636449,10767606,11833495,12752756,11973722
Southern Asia,IRN,32.5189173176254,54.2854514968914,4828544,4584692,4003084,5652960,6184731,8446902,5685740,9785101,10165418,10941914,7978361,5346541,3926369,4459323,5505798,5051806,7803203,10844519,6903639,6398243,10073773,9540699
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,6123136,6600114,7911457,8826629,8603524,8354617,7839531,8204046,9846505,9238462,12083546,9861569,12871900,12339363,13183809,12462910,10193482,13057467,14048724,15710636,17638073,15559077
Western Asia,IRQ,33.0368223410367,43.7569114187134,8242660,8703331,6645716,7708079,9531019,11828750,12806110,11996499,13212359,11471732,12137496,12515202,14134055,14249550,13696337,15417308,17754242,19460593,18679911,21977535,23742893,22129393
Eastern Europe,POL,52.1482602193319,19.3110143084487,6087359,5914274,1570926,2232366,3925941,2536272,1816220,1745903,3539817,2084899,1479532,6390547,3057767,1623121,2011335,3492854,3321972,2828413,3078134,3375429,3516743,3434426
Northern Europe,GBR,53.8833587148482,-2.65799297938563,3194285,3445813,3146197,2777197,2911006,3413756,3983704,4415625,4039654,4250152,5011171,4673922,4116284,4743197,4716149,4870142,5530698,5991749,5736339,5207696,6719149,7629004
