Country,ISO3.Code,LAT,LON,Value.ou.1992,Value.ou.1993,Value.ou.1994,Value.ou.1995,Value.ou.1996,Value.ou.1997,Value.ou.1998,Value.ou.1999,Value.ou.2000,Value.ou.2001,Value.ou.2002,Value.ou.2003,Value.ou.2004,Value.ou.2005,Value.ou.2006,Value.ou.2007,Value.ou.2008,Value.ou.2009,Value.ou.2010,Value.ou.2011,Value.ou.2012,Value.ou.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,5470,6684,8490,2168,9232,3382,8291,12186,6309,10883,17040,16133,6886,73145,25457,272002,427298,1249586,1497893,1519030,1258829,1651380
Middle Africa,AGO,-12.2915534387057,17.5029119215871,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Northern Africa,EGY,26.5066199997495,29.8444615131244,7,10,7,7,6,1,3,13,150011,150004,150006,150019,150014,150010,150240,150000,500030,650000,800393,1240000,1160000,1170000
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,0,0,0,0,0,869,618,625,1044,2045,1514,2555,3038,31659,11260,10571,5571,5571,6571,5571,8220,2405
Western Africa,NGA,9.54831841820997,7.99512775408979,19473,11944,13820,7500,9605,15532,23409,7965,11306,1890,9571,9910,11527,11531,9435,14724,17903,17684,16164,16133,10379,10422
Northern America,CAN,57.7487688035733,-101.569822125212,170702,162802,139288,156836,136323,126046,179467,212151,261111,276273,287583,240937,184486,149638,96463,339792,423362,774222,851665,673022,789961,667545
Central America,MEX,23.9353719022448,-102.576349523987,3141,4913,3552,3620,3558,703394,1105401,1157046,1156142,1456115,1358997,1209354,1206452,1557758,1357719,1361853,1345355,1163555,1792741,1939023,2411783,1711532
Caribbean,CUB,21.6317515410252,-78.9606849097026,12881,10890,12185,15877,16667,17369,19466,18422,25583,23519,18397,16814,18524,20066,17846,16799,22955,27847,21374,22226,25511,30573
South America,BRA,-10.8067736434989,-53.0543400357671,13553,41354,71195,2034,1417,3048,33016,100896,70696,16340,186212,60742,63783,59411,129081,86747,89131,18400,52031,51863,12895,87393
Central Asia,UZB,41.7486026646522,63.2036395282317,154000,155000,47500,100000,100000,200000,305128,305128,493338,315439,353477,414579,473087,532164,604577,573206,515810,513998,1065324,735015,823006,491022
Eastern Asia,JPN,36.019075365944,136.881947315984,163,187,223,228,570,352,278,310,1050,2157,3143,3636,906,915,1338,1308,58841,65691,2068,15736,75715,62877
Southern Asia,IRN,32.5189173176254,54.2854514968914,2307,4657,4853,5239,5873,6870,6839,7620,436910,437473,439189,438182,439320,441190,441824,442150,444007,443533,447905,519623,523945,521419
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,29088,18101,49463,71524,93918,72292,73376,94387,91886,87516,83979,91397,103117,110810,113237,110083,105688,114916,124411,127320,149379,168985
Western Asia,IRQ,33.0368223410367,43.7569114187134,1236634,1405724,1157904,1347831,1485330,1516144,1518946,1372370,1707065,1594989,2104479,2129551,2406328,1736229,1584849,1587207,1570326,1761787,1885441,2231099,2149817,2296013
Eastern Europe,POL,52.1482602193319,19.3110143084487,827774,1209333,952898,972614,795769,855940,813102,795290,994575,987047,1285874,1393785,2460623,1434769,1316571,1432270,2534204,1476917,1446865,1626728,1276086,2078945
Northern Europe,GBR,53.8833587148482,-2.65799297938563,669187,425485,572138,959000,963137,437269,488255,325607,865925,473821,662933,259528,386124,263506,423920,346810,1124612,714176,1158215,804003,927762,1126538
Southern Europe,ITA,43.472476107586,12.2194764873985,477397,658944,531313,448841,308514,952463,800641,734910,463374,640159,558058,703430,753194,716924,379805,388629,510306,499396,444924,455212,500685,492819
Western Europe,NLD,52.2987003744418,5.5122171009654,1702588,1470337,1739933,1890467,1884958,2275191,2045595,2133093,2225425,2363267,2310941,2471833,2295873,2916171,3124077,3647557,3644486,4519926,4537402,4762045,4629029,4686213
Oceania,NZL,-43.9858177329728,170.513011374997,281778,339901,386476,418062,434382,441775,405940,383799,513734,467548,557245,805280,647637,706908,605219,648047,682318,711037,701518,834602,930030,966586
Russian Federation,RUS,61.6925647074082,99.2165267869251,2964,3564,0,0,297,0,31,1282,27,335,1032,1588,1672,1393,323,590,802,1538,938,1335,27,2607
India,IND,22.9250064074085,79.5937037632538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,29.9734600255474,69.4139980631813,885917,952547,857642,982668,945386,959485,1062769,1056980,1108022,960392,926599,968661,982531,1153180,1106992,1173729,1141467,1357957,1172626,1263797,1177166,1238391
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12491,18375,41,23,34,35,16,98,32,118,95,71,141,133,107,197,779,623,433,6087,16246
China,CPR,36.6094323800447,103.865365256658,1463105,1547733,1723982,1672121,1657984,1710885,2061096,2246738,2402371,2688416,2673082,2647335,2875143,1877616,2264379,2540934,2714562,2778182,2786256,2826863,2904743,2948291

