Country,ISO3.Code,LAT,LON,Value.PWO.1992,Value.PWO.1993,Value.PWO.1994,Value.PWO.1995,Value.PWO.1996,Value.PWO.1997,Value.PWO.1998,Value.PWO.1999,Value.PWO.2000,Value.PWO.2001,Value.PWO.2002,Value.PWO.2003,Value.PWO.2004,Value.PWO.2005,Value.PWO.2006,Value.PWO.2007,Value.PWO.2008,Value.PWO.2009,Value.PWO.2010,Value.PWO.2011,Value.PWO.2012,Value.PWO.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,114826,103952,112277,119398,131672,121250,140377,146155,172483,189936,197773,239532,214652,306643,247473,506157,685042,1593933,1828364,1862239,1594079,2003274
Middle Africa,AGO,-12.2915534387057,17.5029119215871,19343,15246,15440,13573,13197,17906,19301,21285,28864,30206,32618,38149,50723,50161,53685,40924,44520,47523,57007,62286,68607,69931
Northern Africa,EGY,26.5066199997495,29.8444615131244,1563927,1526632,1738058,1697255,1987237,1856470,1943346,1843204,2035824,2185466,2234363,2347074,2383270,2466746,3463933,3370780,3874590,4272260,4342008,5085138,4820452,5066418
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,52176,67832,60044,61276,73475,62923,62676,68682,66959,73520,76813,64779,70772,103177,82994,83051,84330,78481,85509,80778,98738,100697
Western Africa,NGA,9.54831841820997,7.99512775408979,71241,87695,73107,63230,74090,93820,137681,110418,138911,134529,153898,147255,166788,214561,195450,193223,197003,235023,241401,244641,228333,263474
Northern America,CAN,57.7487688035733,-101.569822125212,171202,162802,140288,157936,162923,141846,202877,246359,292697,299407,305873,262225,238483,177795,123789,369361,456508,797622,874165,695422,803461,688245
Central America,MEX,23.9353719022448,-102.576349523987,308834,335119,215055,237154,576763,1279721,1604471,1700276,1826841,2123667,1914442,1605255,1539426,2268338,2139698,1889426,1507340,1364638,2211613,2188078,2669824,1957113
Caribbean,CUB,21.6317515410252,-78.9606849097026,88584,83331,91150,88968,86867,99767,108579,105462,113129,110332,91209,90321,88433,95664,88856,88825,101205,104715,107611,107159,106923,114183
South America,BRA,-10.8067736434989,-53.0543400357671,1029331,1051142,1129470,1103277,1249444,1153197,1258839,1332897,1277286,1547486,1504677,1516949,1488308,1420085,1507273,1554838,1653890,1492660,1657816,1557425,1498606,1611680
Central Asia,UZB,41.7486026646522,63.2036395282317,2160513,1621516,863560,803779,887475,1128369,989963,1236674,1358900,1362659,1469140,1516256,1539248,1757708,2018503,2120138,1913075,2165755,2316713,2604233,2039177,1994206
Eastern Asia,JPN,36.019075365944,136.881947315984,477733,451193,437021,414227,408225,405636,419786,431932,418309,464544,426458,420767,420791,388852,389614,390024,458569,477780,412073,428458,478000,469266
Southern Asia,IRN,32.5189173176254,54.2854514968914,1027396,1040718,1059593,1111784,1099699,1324596,1304639,1302925,1632901,1714199,1850196,2201588,1885958,2164160,2074980,2283167,1745800,2502749,2273886,1891968,2389961,2402955
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,122980,113658,166686,211177,229777,199035,197758,219695,236883,225923,247893,254906,288339,306231,314206,309448,299032,317153,353593,353143,406223,422083
Western Asia,IRQ,33.0368223410367,43.7569114187134,4008345,3651073,3122652,3471992,3638236,3763577,4061944,3649351,4314433,4190563,4930672,4851086,5434059,5006031,4701524,4649055,4598060,5135406,5169937,5706180,5741302,6289039
Eastern Europe,POL,52.1482602193319,19.3110143084487,4160762,5088891,4689781,3646522,2809529,3060112,2913344,2763656,2741563,3079297,3279487,2726263,4368202,3268891,3046485,3300862,4944970,3162266,3825536,3997018,3525501,5115860
Northern Europe,GBR,53.8833587148482,-2.65799297938563,1669292,1557965,1739592,1946241,2380975,2001419,1891275,1592226,2284329,1687335,2145218,1689472,1734141,1584460,1764542,1913850,2571979,2116995,2456898,2248920,2084764,2324106
Southern Europe,ITA,43.472476107586,12.2194764873985,1284020,1506050,1410167,1302508,1094323,1856847,1709737,1453583,1223668,1400764,1339280,1354885,1545102,1492417,1066974,1136681,1391056,1403393,1189064,1195832,1200918,1219149
Western Europe,NLD,52.2987003744418,5.5122171009654,2838467,2757975,3061454,3238370,3375753,3739773,4025640,4229473,4253456,4552470,4633000,4988732,5104117,6017486,6900772,6547573,6606079,8193680,8233007,8605368,8821492,9246470
Oceania,NZL,-43.9858177329728,170.513011374997,624395,719895,698703,805961,895432,865809,862356,871695,978692,960221,890894,1241993,1044026,1140477,892144,966990,1077675,1124411,1150119,1311436,1394288,1360172
Russian Federation,RUS,61.6925647074082,99.2165267869251,2294391,1729760,1037599,1340671,923707,313671,538746,1238086,1688209,1249508,1219359,586614,1454134,1026027,868335,1314148,1138122,1350048,869247,1113345,945502,1355790
India,IND,22.9250064074085,79.5937037632538,1669999,1716000,1795002,1973002,1860000,2080002,1990000,2138999,2291191,2240466,2304165,2243879,2927894,2788184,3771701,3924226,4834211,4850629,4952328,5212446,5692891,5611294
Pakistan,PAK,29.9734600255474,69.4139980631813,1358094,1357806,1238956,1408941,1369670,1376875,1531180,1504424,1662638,1441107,1390357,1453342,1474153,1730178,1660907,1760973,1712650,2037138,1759335,1896409,1769173,1859006
United States of America,USA,39.5015541259931,-99.0602406280213,16111,12490,18374,41,23,34,35,16,98,32,118,95,72,140,133,107,197,780,622,433,6086,16247
China,CPR,36.6094323800447,103.865365256658,9485225,8701243,8975333,8934767,8450064,8851562,8640181,8552006,8031248,6969158,6711630,6528241,6553757,5715411,4981041,5106905,5681906,5696529,5782849,5933865,6054761,6275650

