Country,ISO3.Code,LAT,LON,Value.Seed.1992,Value.Seed.1993,Value.Seed.1994,Value.Seed.1995,Value.Seed.1996,Value.Seed.1997,Value.Seed.1998,Value.Seed.1999,Value.Seed.2000,Value.Seed.2001,Value.Seed.2002,Value.Seed.2003,Value.Seed.2004,Value.Seed.2005,Value.Seed.2006,Value.Seed.2007,Value.Seed.2008,Value.Seed.2009,Value.Seed.2010,Value.Seed.2011,Value.Seed.2012,Value.Seed.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,65342,76135,79373,93676,85121,87394,96265,99318,106735,92349,105273,104009,126056,131225,129725,122193,151667,133305,132275,146255,150392,150394
Middle Africa,AGO,-12.2915534387057,17.5029119215871,363,301,355,287,292,393,309,282,285,345,340,412,442,418,533,561,570,571,368,1053,1155,1156
Northern Africa,EGY,26.5066199997495,29.8444615131244,671796,694896,619334,785755,686982,798772,731711,731292,682657,656717,730747,752423,764943,788085,711866,742407,798663,749813,801890,785022,728723,760795
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,71096,70880,90532,86609,91646,51132,48904,62528,65347,63601,51044,55821,53805,51294,42382,50082,43537,38275,40454,34369,33939,32228
Western Africa,NGA,9.54831841820997,7.99512775408979,867,935,1352,1436,1536,2791,3041,3072,3156,3039,3132,3389,3459,3652,1801,2334,3095,4229,5732,5363,4718,4942
Northern America,CAN,57.7487688035733,-101.569822125212,1230500,1048600,1081000,1186000,1098000,1036000,995000,1069000,1045000,1019000,1043700,1014000,946000,970000,868600,918800,985100,961300,861200,873700,952100,1030900
Central America,MEX,23.9353719022448,-102.576349523987,96160,107899,102322,90197,88428,83313,74622,75618,73750,69760,66126,56855,69351,70687,97303,99241,115497,74803,76306,62881,72804,74000
Caribbean,CUB,21.6317515410252,-78.9606849097026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South America,BRA,-10.8067736434989,-53.0543400357671,766759,794600,735072,1038856,881523,810059,883925,927925,1004236,964249,968731,1026068,886851,864371,893816,848374,744284,801669,828887,666428,743073,957500
Central Asia,UZB,41.7486026646522,63.2036395282317,2272874,2177020,2369140,2104200,2198042,2191506,1622290,1587310,1440370,1557926,2114987,2498630,2598150,2723870,2640230,2752977,2410877,3087457,3058318,2991368,2728410,2604457
Eastern Asia,JPN,36.019075365944,136.881947315984,99966,113070,93777,78334,82885,61165,62184,66410,64595,55943,74853,62255,60687,62209,61204,55395,57227,58106,58165,56136,53885,54862
Southern Asia,IRN,32.5189173176254,54.2854514968914,1173898,1133439,1095426,1092393,1097395,1099047,912163,952279,981103,1060254,1129314,1111728,1181800,1192225,1313181,1078425,1190735,1298968,1214119,1251655,1228241,1172080
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,9228,7670,6718,5720,5876,6119,6590,5090,4929,5172,5990,6629,6896,7520,6071,6164,6386,6266,5900,6362,6470,6470
Western Asia,IRQ,33.0368223410367,43.7569114187134,2258338,2230285,2336531,2242388,2258626,2229122,2122688,2160867,2183933,2269731,2270855,2294719,2412807,2286841,2038509,1940289,1922320,1932381,1938393,1936841,1877203,1916649
Eastern Europe,POL,52.1482602193319,19.3110143084487,3651451,3324188,3675713,4143263,4562838,4315650,3651177,3229418,3522132,4215404,2598155,3160632,3640118,3585528,3635564,3887822,3992801,3870020,3888907,3621827,3834155,3833036
Northern Europe,GBR,53.8833587148482,-2.65799297938563,658900,649000,719600,769000,817400,815500,773082,794903,711877,727964,695331,728812,727731,721726,750680,799231,794418,813466,835619,838809,825309,816647
Southern Europe,ITA,43.472476107586,12.2194764873985,1626183,1584237,1560432,1512850,1530448,1449589,1453310,1461042,1482462,1641578,1549136,1640424,1599012,1481398,1416755,1315893,1346727,1084500,1060118,1031696,1125583,1108116
Western Europe,NLD,52.2987003744418,5.5122171009654,1260867,1291642,1363951,1409389,1404073,1430698,1401165,1481810,1419355,1484929,1449629,1471484,1499822,1448642,1485603,1564758,1533961,1522702,1459653,1505367,1451611,1530325
Oceania,NZL,-43.9858177329728,170.513011374997,381714,365106,442504,498505,492302,525003,555200,555000,530002,516400,566701,678600,630501,598501,638001,686001,704001,685001,705001,672001,684501,639501
Russian Federation,RUS,61.6925647074082,99.2165267869251,6415000,5770000,6216000,6684000,7100000,6500000,5985000,6033000,6179000,6672000,5753000,6247000,6604000,6146000,6345000,6920000,7461000,6920000,6643000,6417000,6516000,6500000
India,IND,22.9250064074085,79.5937037632538,2459000,2515000,2570000,2500000,2588700,2669600,2752300,2748600,2573060,2634470,2519570,2659470,2638290,2648360,2799450,2803860,2775240,2845740,2906860,2986000,2965000,3060000
Pakistan,PAK,29.9734600255474,69.4139980631813,765000,889000,837000,935000,1000000,916000,1028000,982000,1160000,1046000,1000000,1055000,1072000,1189000,1170000,1281000,1152734,1322000,1282094,1400000,1291000,1333000
United States of America,USA,39.5015541259931,-99.0602406280213,2697000,2621000,2422000,2816856,2784197,2517480,2190888,2498429,2171987,2223234,2280700,2177000,2122000,2123000,2228990,2384100,2122800,1989417,1978603,1929614,1990464,2096087
China,CPR,36.6094323800447,103.865365256658,4590085,5100082,4900079,5120003,5100001,5200002,5050001,5100002,5000004,4800004,4400004,4500004,4800004,4600004,4130004,4100004,4400005,4690114,4690112,4690123,4580124,4600124

