Country,ISO3.Code,LAT,LON,Value.Domestic.1992,Value.Domestic.1993,Value.Domestic.1994,Value.Domestic.1995,Value.Domestic.1996,Value.Domestic.1997,Value.Domestic.1998,Value.Domestic.1999,Value.Domestic.2000,Value.Domestic.2001,Value.Domestic.2002,Value.Domestic.2003,Value.Domestic.2004,Value.Domestic.2005,Value.Domestic.2006,Value.Domestic.2007,Value.Domestic.2008,Value.Domestic.2009,Value.Domestic.2010,Value.Domestic.2011,Value.Domestic.2012,Value.Domestic.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,3212142,2863018,3237153,3213238,3490394,3481546,3751291,3854407,4414438,4891621,5072645,5429181,5552546,6387062,6260184,6644148,6789899,8519356,8707045,9111444,9031099,9568865
Middle Africa,AGO,-12.2915534387057,17.5029119215871,699727,584121,579618,566655,592026,741431,727900,856460,909187,971534,1010404,1057970,1100059,1149030,1250535,1286106,1370586,1469867,1558481,1703175,1820130,1887193
Northern Africa,EGY,26.5066199997495,29.8444615131244,24374152,24550326,25498283,25978179,27630787,27425969,27254881,26816980,26912976,28648694,28623648,29156044,29707039,31002081,34112284,34240541,36122069,37757211,38092947,40079992,39187598,41695007
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,2509717,2782598,2851755,2931661,2961901,2950564,3040588,3083406,3165174,3148062,2981761,2848241,3105307,3313281,3379641,3426544,3459373,3444331,3453999,3582752,3615065,3660108
Western Africa,NGA,9.54831841820997,7.99512775408979,2059667,2545695,2119397,1981158,2249712,2614770,3248358,3354332,3966803,4010213,4281267,4150814,4658269,5952189,5499975,5380282,5362574,6365649,6615308,6792350,5896088,6732412
Northern America,CAN,57.7487688035733,-101.569822125212,7496708,8962632,7706621,7776450,8294021,7433617,8166108,8333469,7511940,7406065,8121921,7428748,9056356,8083844,7950119,6330232,6468518,7215785,6282115,7563241,8096599,8387291
Central America,MEX,23.9353719022448,-102.576349523987,5714564,6017228,6265110,5754962,6319163,6115013,6526033,6654287,6838867,7297605,7086706,6817357,6712582,7476022,7460501,7294557,6860639,6799040,7831281,7960609,8502627,7979796
Caribbean,CUB,21.6317515410252,-78.9606849097026,1762386,1723008,1829879,1726220,1718952,1882050,2056143,1998085,2117917,2108165,1978475,1944855,1965828,1937956,1917358,1937681,2009916,1940825,2140353,1984378,1925127,1975186
South America,BRA,-10.8067736434989,-53.0543400357671,19170718,19462808,19996914,21176704,21021205,20710876,21172549,21415152,21267294,22661602,22526888,23801843,23258837,23608211,24009450,24452582,24912137,25264181,25768733,26053540,25586306,26752563
Central Asia,UZB,41.7486026646522,63.2036395282317,16549107,14995700,14614031,13804938,14091851,14208387,12343530,12197932,12951710,13447580,16000387,17107791,17249522,19109265,19887046,20396420,19534291,21526644,20879972,22235796,20270903,20724996
Eastern Asia,JPN,36.019075365944,136.881947315984,10630092,11708241,11643595,10567074,10165525,10485440,11247181,10671610,10202253,10994081,11177331,10519564,10763429,11121373,10633266,10797021,10841737,12556369,12240639,13477632,13759640,12754842
Southern Asia,IRN,32.5189173176254,54.2854514968914,18475399,18936275,19607899,19693464,20575955,23078238,22318260,23665599,23060357,23836021,24440774,23809166,24424914,24599683,24677100,24216340,23355630,25279287,24943957,24832856,25705643,25965115
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,6253622,6465552,7540349,8495261,8280743,7918609,8719053,7951203,8429722,9191377,10207848,9937755,11272351,11454138,11873208,11338772,10623800,12560398,14052791,14916593,16815785,15321475
Western Asia,IRQ,33.0368223410367,43.7569114187134,29892641,28978752,30432689,29675846,30127595,30501024,31737359,32241556,34300789,35652967,37241921,36716124,38195163,36620344,37168762,37162701,37043298,38589914,38812827,39602436,40041716,41377690
Eastern Europe,POL,52.1482602193319,19.3110143084487,45575144,44096032,46200338,43752920,39968531,40997277,41445751,38990779,37431539,41186444,40808658,32296946,40908900,39356784,35098177,37335157,41866198,36073755,38104676,39634616,36077111,37156461
Northern Europe,GBR,53.8833587148482,-2.65799297938563,18168337,18623630,19956159,20180453,21499196,22597043,22690004,23467725,24096346,23741311,24621493,24485992,24656847,25405971,24932897,24884636,25245628,25227980,25798095,25636620,25595342,24910136
Southern Europe,ITA,43.472476107586,12.2194764873985,24035261,24916730,24467106,24686936,25228607,27923284,28257486,27664830,27574521,28457017,28512559,28372816,30519736,30059197,29067535,28834150,29768800,29080173,28618140,29331993,29566915,29983942
Western Europe,NLD,52.2987003744418,5.5122171009654,29473849,33700446,36759175,39990325,39965265,38759947,42463151,40656338,44999038,46816543,47524416,43409155,45630143,51481341,51747102,47483660,52844356,52403946,48404419,50368328,47641379,48530625
Oceania,NZL,-43.9858177329728,170.513011374997,4114605,4474463,3961006,4828886,4166391,4688909,4917619,5277716,5372387,5541578,6176192,6537892,6702070,7509391,8086725,7292240,8226117,6195828,8067304,6935808,7650583,7672132
Russian Federation,RUS,61.6925647074082,99.2165267869251,62605616,48020374,36395605,34663553,38117280,36957820,37254383,34935535,36763896,46233731,35943561,31907920,42561677,37946696,36536267,34563604,51606307,44422667,30086007,32921672,29924485,34707668
India,IND,22.9250064074085,79.5937037632538,58974341,58446165,59746096,63629431,61750532,65807407,68148559,69656676,74216061,71675702,72526630,69952104,71008048,68832799,74146671,77373152,80420959,79213732,82394357,81976364,81141042,86371891
Pakistan,PAK,29.9734600255474,69.4139980631813,17141172,18030316,18789263,18442626,18749737,19987450,20571082,20835230,21277810,19783089,19528186,19914030,20437558,20933222,22137065,21361456,21977942,23227309,23188889,23849441,24002703,24373479
United States of America,USA,39.5015541259931,-99.0602406280213,29661802,32667381,34911258,32661793,34904862,33273049,37238700,34645734,35729134,32123388,29752403,32502389,31585669,31345876,30666052,28612405,33685001,31848163,30766374,31878002,37696305,34050700
China,CPR,36.6094323800447,103.865365256658,110376356,112391555,112414035,113880126,113480615,114009138,113947084,113729221,113015811,112086972,109901825,108148535,105263716,105215998,105920888,106260921,105641309,107232802,111344163,125595695,125198338,126955820

