Country,ISO3.Code,LAT,LON,markets,commodities,GatherMonthMajor,GatherMonthSecondary,Prod.1991,Prod.1992,Prod.1993,Prod.1994,Prod.1995,Prod.1996,Prod.1997,Prod.1998,Prod.1999,Prod.2000,Prod.2001,Prod.2002,Prod.2003,Prod.2004,Prod.2005,Prod.2006,Prod.2007,Prod.2008,Prod.2009,Prod.2010,Prod.2011,Prod.2012,Prod.2013
Eastern Africa,TZA,-6.2577327208456,34.7529881314612,market,wheat,01,07,1495461,1304970,1538926,1526621,1612873,1906902,1773158,1859137,1803241,1807736,2256053,2134303,2374762,2441103,3071590,3052098,3202375,2950534,3706270,3749560,3703690,4386938,5044929
Middle Africa,CMR,5.66309813030213,12.6115525151366,market,wheat,03,-0,6445,5709,5474,6421,8212,7844,9170,11189,7953,7088,7199,8452,7368,4510,8113,6469,13032,12774,15400,14400,6672,27800,36808
Northern Africa,TUN,34.1729390368824,9.53471612069583,market,wheat,06,-0,13762943,10439007,9287718,11651829,9291871,17178411,10354038,14690151,11532182,9761114,13031176,12154551,17272384,17605395,15641468,19208520,13526393,14363534,20142837,15883717,18877373,17953014,20933531
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,market,wheat,11,-0,2156644,1339770,1998500,1860135,1995607,2750531,2469743,1927845,1752855,2448009,2561594,2475195,1579457,1712026,1930424,2124577,1921516,2148768,1978288,1463069,2041993,1940716,1899192
Western Africa,CIV,7.55375500701049,-5.61204364522522,market,wheat,10,-0,74561,49164,39210,40693,55898,53715,77569,117673,121758,90621,66875,62621,69726,80739,80379,88361,61585,78891,107146,144901,204844,151829,120614
Northern America,CAN,57.7487688035733,-101.569822125212,market,wheat,06,10,31945600,29877200,27255900,22919500,24989400,29801400,24280300,24082300,26940800,26535500,20630200,15961300,23048600,24795500,25748100,25265400,20090400,28619200,26949900,23299600,25288000,27205200,37529600
Central America,MEX,23.9353719022448,-102.576349523987,market,wheat,05,-0,4084178,3643983,3607522,4177774,3495123,3399615,3680594,3250713,3030085,3503537,3285782,3246020,2724800,2331744,3027409,3380672,3518190,4021958,4118897,3679137,3630067,3276824,3359863
Caribbean,TTO,10.4282370892019,-61.3303669144496,market,wheat,11,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South America,ARG,-35.2201719959357,-65.149543390921,market,wheat,12,-0,15335538,15404847,14369898,15804123,13738641,22014208,20349563,17673209,20088103,20185127,21589158,18423419,24062918,25552918,20669377,20331632,23588486,18383697,18699066,26949748,25845668,16696525,19923475
Central Asia,KAZ,48.1916620924959,67.2846086074656,market,wheat,09,-0,16957930,20471410,13971300,11846400,10327000,12076070,14461119,11139325,17823743,15740805,19734514,21700512,21135140,19544018,21658143,24300438,26722447,22589996,28034947,20115244,32085746,19006657,23849510
Eastern Asia,JPN,36.019075365944,136.881947315984,market,wheat,06,-0,1432751,1335452,1212483,1013856,835562,804305,918233,931117,852426,879261,965307,1101698,1187273,1183545,1148797,1169767,1222011,1276389,1250104,1115874,1352866,1434108,1274140
Southern Asia,IRN,32.5189173176254,54.2854514968914,market,wheat,06,-0,12358930,13655700,14612970,14949452,15486530,14697240,15281820,17592665,14166677,12580286,13886483,18000045,19770462,19599051,20992397,20155866,22622739,12995712,20741368,20490029,14783862,16707499,17455827
South-Eastern Asia,MYS,3.54811177078971,114.675513963341,market,wheat,09,-0,123865,143966,139283,109299,89740,78660,91750,92767,115778,93800,94818,106799,122822,150862,156901,141000,156079,174249,183150,185210,173744,187000,189500
Western Asia,TUR,38.990729727953,35.3921024579343,market,wheat,07,-0,26340018,26281681,27328182,22878281,22299606,22528595,23290581,25513884,22412623,24982949,24519968,27202049,26280363,28085608,28861808,26874827,24155978,23375927,26296689,25780680,28281625,26821928,29795488
Eastern Europe,UKR,48.9730179682021,31.3695330803563,market,wheat,07,08,65605508,43343630,48606074,43025303,48134333,37805525,50201687,45131411,39307381,36661715,56091691,49868078,23347958,53982419,51361943,40826876,38798344,62386892,52886165,47820856,56831194,45977037,59118901
Northern Europe,GBR,53.8833587148482,-2.65799297938563,market,wheat,08,-0,20863550,21457760,21581118,20381345,22697063,25779300,25116734,25553686,23388669,27170218,21793641,25700160,24885544,26978834,26315708,24985775,24450926,29736300,27628469,26879058,27695858,26968600,24275300
Southern Europe,ITA,43.472476107586,12.2194764873985,market,wheat,07,-0,25566197,19754471,20771310,20716370,18772412,19615620,18716122,21226856,18744214,21546469,18244064,21074954,17156136,22819296,17474821,18315176,18919590,21710978,17311107,17703519,19214330,19079859,21664018
Western Europe,FRA,46.6064633728632,2.33908864602935,market,wheat,07,-0,55315489,52386212,49131445,51412248,53276418,59966532,58403535,64857810,60966941,63765596,58897175,64512046,54200742,70595325,65577313,62653461,58199732,70547041,69000548,67658173,64051550,67717017,68940071
Oceania,AUS,-25.5607640622395,134.376078573618,market,wheat,01,-0,10738398,14929942,16698730,9203044,16749271,23979097,19541051,22410179,25077007,22434010,24663037,10433508,26452519,22224120,25491961,11083445,13913832,21763543,22059472,22582901,27793350,30393633,23303389
Russian Federation,RUS,61.6925647074082,99.2165267869251,market,wheat,07,08,37838951,46166700,43546552,32128600,30118660,34916680,44257720,27011880,30995150,34455488,46982120,50609100,34104288,45412712,47697520,44926880,49367968,63765140,61739752,41507580,56239992,37719640,52090800
India,IND,22.9250064074085,79.5937037632538,market,wheat,04,-0,55134500,55689500,57210100,59840000,65767400,62097400,69350200,66345000,71287504,76368896,69680896,72766304,65760800,72156200,68636896,69354496,75806704,78570200,80679400,80803600,86874000,94880000,93510000
