Source,Target,Type,Weight
CAN,CUB,Direct,0.0726915895488736
NZL,CUB,Direct,0.00219686771226581
RUS,CUB,Direct,0.051663505584846
USA,CUB,Direct,0.259750074679323
CAN,MEX,Direct,0.0911202031085717
NZL,MEX,Direct,0.00610912198576426
RUS,MEX,Direct,0.111155164127698
USA,MEX,Direct,0.583780773416511
POL,UZB,Direct,0.00352724528975512
CAN,UZB,Direct,0.00218377715547984
NZL,UZB,Direct,0.00150610521178409
PAK,UZB,Direct,0.00220549700729911
RUS,UZB,Direct,0.0801214335174419
USA,UZB,Direct,0.000664958394945226
NLD,UZB,Direct,0.000380589611772386
UZB,CPR,Direct,0.0810448309206783
POL,CPR,Direct,0.265764818986883
IND,CPR,Direct,0.0476005318767367
CAN,CPR,Direct,0.170908445302252
GBR,CPR,Direct,0.0567364209852151
NZL,CPR,Direct,0.121653329882442
PAK,CPR,Direct,0.011350874151336
RUS,CPR,Direct,0.441523221326325
USA,CPR,Direct,0.224842146662256
NLD,CPR,Direct,0.156201173335886
UZB,ETH,Direct,0.00637143579886411
POL,ETH,Direct,0.0410051533048238
CAN,ETH,Direct,0.491004415898051
GBR,ETH,Direct,0.00553569276386649
NZL,ETH,Direct,0.264190391541121
PAK,ETH,Direct,0.00021332371338406
RUS,ETH,Direct,0.20734782184904
USA,ETH,Direct,0.0150752108640606
UZB,JPN,Direct,0.00137968185056797
CAN,JPN,Direct,0.552726810041686
GBR,JPN,Direct,0.000320205491430094
NZL,JPN,Direct,0.084991895602782
PAK,JPN,Direct,0.034845386572966
RUS,JPN,Direct,0.777898796845166
USA,JPN,Direct,0.373194976165349
UZB,POL,Direct,0.000513903842080637
CAN,POL,Direct,0.0127033695335709
NZL,POL,Direct,0.00059148371781697
PAK,POL,Direct,0.000846487764007537
RUS,POL,Direct,0.0556962348705571
USA,POL,Direct,0.00586172093495498
NLD,POL,Direct,0.00684661253774915
UZB,IND,Direct,0.0116769442122062
POL,IND,Direct,0.0198292193562328
CAN,IND,Direct,0.0309163763867815
GBR,IND,Direct,0.00104747493667651
NZL,IND,Direct,0.0497099337247814
PAK,IND,Direct,0.00424291126546646
RUS,IND,Direct,0.205796643232131
USA,IND,Direct,0.021400735462165
NLD,IND,Direct,0.0173766354714873
POL,AGO,Direct,0.00591647087965659
CAN,AGO,Direct,0.117384258448294
GBR,AGO,Direct,0.00030439209883265
NZL,AGO,Direct,0.0431296773640676
PAK,AGO,Direct,0.000211333948752593
RUS,AGO,Direct,0.0386710756125502
USA,AGO,Direct,0.0125124777982953
NLD,AGO,Direct,0.0541526801939197
UZB,EGY,Direct,0.0387547504515261
POL,EGY,Direct,0.979720665304589
CAN,EGY,Direct,0.171867972642218
GBR,EGY,Direct,0.0406004142338926
NZL,EGY,Direct,0.0283404899295576
PAK,EGY,Direct,0.0173890767366566
RUS,EGY,Direct,0.649429433965627
USA,EGY,Direct,0.459515322415661
NLD,EGY,Direct,1.78431724428936
NZL,CAN,Direct,0.000287238233220323
RUS,CAN,Direct,0.0212780193466306
USA,CAN,Direct,0.000309565486874463
POL,GBR,Direct,0.00102020468877999
CAN,GBR,Direct,0.0238134402747177
NZL,GBR,Direct,0.000466819727432884
PAK,GBR,Direct,0.00119501074787703
RUS,GBR,Direct,0.0523781452609053
USA,GBR,Direct,0.0166369457059623
NLD,GBR,Direct,0.00598885642246026
CAN,NZL,Direct,0.00146337763443471
RUS,NZL,Direct,0.0229167476073247
USA,NZL,Direct,0.00021212985460518
UZB,PAK,Direct,0.00949859178345847
POL,PAK,Direct,0.0597164181666444
IND,PAK,Direct,0.00237230211808857
CAN,PAK,Direct,0.0258312082252607
GBR,PAK,Direct,0.00503052294127345
NZL,PAK,Direct,0.0304486769739326
RUS,PAK,Direct,0.267998884825311
USA,PAK,Direct,0.0463934359268349
NLD,PAK,Direct,0.0249217601193354
CAN,RUS,Direct,0.000708523767928912
NZL,RUS,Direct,0.00034638660500202
UZB,BRA,Direct,0.02783643018618
CPR,BRA,Direct,0.0101803898706532
POL,BRA,Direct,0.0953598888608461
IND,BRA,Direct,0.0369936202486606
CAN,BRA,Direct,0.12665025721878
GBR,BRA,Direct,0.049050148717878
NZL,BRA,Direct,0.0479586895104007
PAK,BRA,Direct,0.0148208142197049
RUS,BRA,Direct,0.14530800788446
USA,BRA,Direct,0.245736183324795
NLD,BRA,Direct,0.13325093484808
UZB,IDN,Direct,0.000912275666191075
POL,IDN,Direct,0.0016499966119754
CAN,IDN,Direct,0.0731542412430259
NZL,IDN,Direct,1.78054129936556
RUS,IDN,Direct,0.527391199823896
USA,IDN,Direct,0.00796743648220876
POL,ZAF,Direct,0.00194431421830557
CAN,ZAF,Direct,0.120214164541839
NZL,ZAF,Direct,0.126581704591003
RUS,ZAF,Direct,0.0456454100947486
BRA,ZAF,Direct,0.000445037040941041
USA,ZAF,Direct,0.00802826044525906
UZB,IRN,Direct,0.263797716727324
POL,IRN,Direct,0.241236780925887
CAN,IRN,Direct,0.208133087697071
GBR,IRN,Direct,0.000588404818860912
NZL,IRN,Direct,0.0224826647443021
RUS,IRN,Direct,0.440346537357948
USA,IRN,Direct,0.0174059583186878
NLD,IRN,Direct,0.0188243253826697
UZB,ITA,Direct,0.00212816847025307
POL,ITA,Direct,0.282312895520936
CAN,ITA,Direct,0.248540620431057
GBR,ITA,Direct,0.0239895239721571
NZL,ITA,Direct,0.00765963036616634
PAK,ITA,Direct,0.0430829074227827
RUS,ITA,Direct,0.225712092704024
USA,ITA,Direct,0.50085911271587
NLD,ITA,Direct,0.779073030261313
CAN,USA,Direct,0.00326507809089128
NZL,USA,Direct,0.000247065932555559
RUS,USA,Direct,0.0195645178255752
UZB,NGA,Direct,0.00209566199964217
POL,NGA,Direct,0.0436056081190235
CAN,NGA,Direct,0.549705279141686
GBR,NGA,Direct,0.00679632385480019
NZL,NGA,Direct,0.0231480839268462
RUS,NGA,Direct,0.157021228647631
USA,NGA,Direct,0.0614709088391081
NLD,NGA,Direct,0.259395058779287
UZB,IRQ,Direct,0.128462639569574
POL,IRQ,Direct,1.14673292106463
CAN,IRQ,Direct,0.114590210007898
GBR,IRQ,Direct,0.000930518666127994
NZL,IRQ,Direct,0.0341454502102886
PAK,IRQ,Direct,0.0171183640223229
RUS,IRQ,Direct,0.882379138429929
USA,IRQ,Direct,0.202492523864681
NLD,IRQ,Direct,0.0381962968265915
POL,NLD,Direct,0.00200733739489591
CAN,NLD,Direct,0.0211290592828518
NZL,NLD,Direct,0.000437245541542035
PAK,NLD,Direct,0.00139597697565514
RUS,NLD,Direct,0.044704251424065
USA,NLD,Direct,0.00723972719425434
