Source,Target,Type,Weight
CAN,CUB,Direct,0.009166361054322
NZL,CUB,Direct,0.00122465959285604
BRA,CUB,Direct,0.00574454762260118
USA,CUB,Direct,0.149808318169255
UZB,MEX,Direct,1.70789278741203e-05
CAN,MEX,Direct,0.0274649253072178
GBR,MEX,Direct,0.000106492138509221
NZL,MEX,Direct,0.00439028910646505
BRA,MEX,Direct,0.00785630682209536
USA,MEX,Direct,0.416879550479404
CPR,UZB,Direct,0.00174606921442477
POL,UZB,Direct,0.000991582459515105
IND,UZB,Direct,0.00355241699781703
CAN,UZB,Direct,0.00124776637762691
NZL,UZB,Direct,0.00125379423452366
PAK,UZB,Direct,0.00042295462558851
RUS,UZB,Direct,0.00343286450269819
USA,UZB,Direct,0.000549539620420225
NLD,UZB,Direct,0.000482228551739869
UZB,CPR,Direct,0.00127891030492678
POL,CPR,Direct,0.00106994459917283
IND,CPR,Direct,0.00565212048351771
CAN,CPR,Direct,0.00135425851613613
GBR,CPR,Direct,2.2102141954744e-05
NZL,CPR,Direct,0.00743636612495522
PAK,CPR,Direct,3.3153212932116e-05
RUS,CPR,Direct,0.484091159520964
USA,CPR,Direct,0.000789649253474035
NLD,CPR,Direct,0.000535474620994479
UZB,ETH,Direct,0.0415138504479059
CPR,ETH,Direct,0.00346099450154968
POL,ETH,Direct,0.0198477234753601
IND,ETH,Direct,0.0131568023199694
CAN,ETH,Direct,0.241058015872231
GBR,ETH,Direct,0.000470172837946372
NZL,ETH,Direct,0.0957434650195025
PAK,ETH,Direct,0.00572947798035931
RUS,ETH,Direct,0.0212230794906348
BRA,ETH,Direct,0.0293235145170485
USA,ETH,Direct,0.00116940423796918
UZB,JPN,Direct,0.0172075221545843
CPR,JPN,Direct,0.0181217471172578
POL,JPN,Direct,0.00663867972895219
IND,JPN,Direct,0.0236452733203116
CAN,JPN,Direct,0.381047959799499
NZL,JPN,Direct,0.0686773829102863
PAK,JPN,Direct,0.000126584994831715
RUS,JPN,Direct,0.273001638853733
USA,JPN,Direct,0.282147907051733
CPR,POL,Direct,0.000337559986217908
IND,POL,Direct,0.0012959892328009
CAN,POL,Direct,0.00188470992304999
GBR,POL,Direct,0.000477205337659245
NZL,POL,Direct,0.000589725333065214
PAK,POL,Direct,6.93203543126061e-05
RUS,POL,Direct,0.00144367172677123
BRA,POL,Direct,9.14224962673501e-05
USA,POL,Direct,0.0022182513380034
NLD,POL,Direct,0.00143663922705836
UZB,IND,Direct,0.000290341773860046
CPR,IND,Direct,0.00281099059951698
POL,IND,Direct,0.00012758963764784
CAN,IND,Direct,0.00014667785115421
NZL,IND,Direct,0.00208764777190718
PAK,IND,Direct,0.000362676056621026
RUS,IND,Direct,0.00169181850235404
UZB,AGO,Direct,0.0036850298495455
POL,AGO,Direct,0.00981736959917082
IND,AGO,Direct,0.00343386914551431
CAN,AGO,Direct,0.0668408958424103
GBR,AGO,Direct,0.000267234989089177
NZL,AGO,Direct,0.0150877258125611
PAK,AGO,Direct,0.000492274979901116
RUS,AGO,Direct,0.00227049276444188
BRA,AGO,Direct,0.0209488120018328
USA,AGO,Direct,0.0284303870535136
NLD,AGO,Direct,0.00182945456816313
UZB,EGY,Direct,0.0375776598943293
CPR,EGY,Direct,0.00764432718789304
POL,EGY,Direct,0.263176232112033
IND,EGY,Direct,0.0270590496095034
CAN,EGY,Direct,0.137934444725477
GBR,EGY,Direct,0.0518827689531292
NZL,EGY,Direct,0.0187546720914164
PAK,EGY,Direct,0.014724045113124
RUS,EGY,Direct,0.0806416742075156
BRA,EGY,Direct,0.0246408743510912
USA,EGY,Direct,0.339229702578307
NLD,EGY,Direct,0.845436064410625
NZL,CAN,Direct,9.34317818995995e-05
USA,CAN,Direct,0.000315457844263164
NLD,CAN,Direct,9.04178534512254e-06
UZB,GBR,Direct,0.000482228551739869
CPR,GBR,Direct,0.000161747493396081
POL,GBR,Direct,0.00252466739692144
IND,GBR,Direct,0.000982540674169982
CAN,GBR,Direct,0.00659548008785883
NZL,GBR,Direct,0.000357652842540403
PAK,GBR,Direct,9.94596387963479e-05
RUS,GBR,Direct,0.00119552495118842
BRA,GBR,Direct,0.000617855331916707
