Month,year,Crude Oil (petroleum) Price (US Dollars per Barrel),Wheat Price (US Dollars per Metric Ton)
May,1987,18.41,119.05
Jun,1987,18.71,108.76
Jul,1987,19.62,104.72
Aug,1987,18.88,106.92
Sep,1987,18.32,112.07
Oct,1987,18.63,113.91
Nov,1987,17.87,115.01
Dec,1987,16.77,124.56
Jan,1988,16.50,128.60
Feb,1988,15.90,131.54
Mar,1988,14.86,124.93
Apr,1988,16.42,126.77
May,1988,16.36,128.97
Jun,1988,15.49,149.91
Jul,1988,14.47,149.55
Aug,1988,14.57,149.91
Sep,1988,13.22,159.47
Oct,1988,12.23,162.04
Nov,1988,12.53,163.88
Dec,1988,14.68,166.82
Jan,1989,16.45,173.80
Feb,1989,16.52,172.06
Mar,1989,18.10,178.21
Apr,1989,19.39,174.53
May,1989,18.22,176.37
Jun,1989,17.80,168.65
Jul,1989,17.67,166.82
Aug,1989,16.87,164.24
Sep,1989,17.69,163.51
Oct,1989,18.41,164.61
Nov,1989,18.38,163.51
Dec,1989,19.37,164.61
Jan,1990,20.59,167.92
Feb,1990,19.68,160.94
Mar,1990,18.12,156.53
Apr,1990,16.32,159.47
May,1990,16.21,149.18
Jun,1990,14.93,135.58
Jul,1990,16.81,124.93
Aug,1990,26.54,116.84
Sep,1990,33.62,114.27
Oct,1990,34.85,114.64
Nov,1990,31.54,112.80
Dec,1990,26.61,113.17
Jan,1991,22.81,111.33
Feb,1991,18.53,113.91
Mar,1991,18.21,119.42
Apr,1991,18.49,120.89
May,1991,18.72,122.04
Jun,1991,17.78,120.15
Jul,1991,19.02,118.21
Aug,1991,19.30,125.33
Sep,1991,19.95,135.37
Oct,1991,21.56,146.89
Nov,1991,20.41,149.54
Dec,1991,17.63,160.84
Jan,1992,17.52,169.95
Feb,1992,17.65,177.13
Mar,1992,17.35,169.35
Apr,1992,18.65,159.93
May,1992,19.52,149.69
Jun,1992,20.88,148.67
Jul,1992,20.18,136.32
Aug,1992,19.62,128.17
Sep,1992,20.19,138.74
Oct,1992,20.04,140.58
Nov,1992,18.90,147.57
Dec,1992,17.93,147.83
Jan,1993,17.24,155.65
Feb,1993,18.23,148.88
Mar,1993,18.50,147.90
Apr,1993,18.44,141.99
May,1993,18.17,136.58
Jun,1993,17.37,121.82
Jul,1993,16.37,127.52
Aug,1993,16.43,129.80
Sep,1993,15.80,131.29
Oct,1993,16.44,135.96
Nov,1993,15.09,146.50
Dec,1993,13.36,158.65
Jan,1994,14.17,153.21
Feb,1994,13.75,147.04
Mar,1994,13.69,141.04
Apr,1994,15.15,140.45
May,1994,16.43,140.15
Jun,1994,17.23,139.30
Jul,1994,18.04,137.60
Aug,1994,16.98,146.02
Sep,1994,16.13,158.79
Oct,1994,16.48,167.19
Nov,1994,17.20,161.99
Dec,1994,16.13,164.62
Jan,1995,16.88,156.21
Feb,1995,17.44,154.42
Mar,1995,17.35,150.39
Apr,1995,18.77,148.98
May,1995,18.43,158.61
Jun,1995,17.33,169.98
Jul,1995,16.06,190.09
Aug,1995,16.49,184.39
Sep,1995,16.77,193.67
Oct,1995,16.18,203.79
Nov,1995,16.82,204.07
Dec,1995,17.93,208.92
Jan,1996,17.79,206.88
Feb,1996,17.69,218.89
Mar,1996,19.46,215.52
Apr,1996,20.78,251.66
May,1996,19.12,262.11
Jun,1996,18.56,227.27
Jul,1996,19.56,202.60
Aug,1996,20.19,191.63
Sep,1996,22.14,178.71
Oct,1996,23.43,178.32
Nov,1996,22.25,176.41
Dec,1996,23.51,175.70
Jan,1997,23.29,175.73
Feb,1997,20.54,172.35
Mar,1997,19.42,176.61
Apr,1997,17.98,183.49
May,1997,19.47,172.59
Jun,1997,18.02,148.39
Jul,1997,18.45,138.31
Aug,1997,18.79,150.61
